id_genero,artista,oyentes,reproducciones
1,Carl Friedrich Abel,18303,121895
1,T. Brinda,50,157
1,Hubert Parry,39664,192968
1,Vicente Martín Y Soler,354,8533
1,Vissarion Shebalin,1200,5527
1,Bekah Simms,143,432
1,Michael Oesterle,141,609
1,Carl Nielsen,113409,584257
1,Classical Music Orchestra!,181,1201
1,Erich Wolfgang Korngold,66535,327822
1,Miriam Hyde,984,6995
1,John Corigliano,48708,262724
1,Berglind María Tómasdóttir,189,407
1,Daniel Ligorio,184,923
1,Kurt Atterberg,11314,76067
1,Karl-Erik Welin,184,494
1,Dionisio Aguado,4815,26986
1,Max Bruch,269961,1322072
1,Alfred Cortot,14340,185086
1,Astor Piazzolla,416130,6710724
1,Lori Laitman,624,4323
1,Michael Torke,6412,41054
1,Michael Haydn,51913,294661
