id_genero,artista,similar
2,Greg Walker,Omar Sosa & Adam Rudolph
2,Greg Walker,Royce Campbell
2,Greg Walker,Terri England
2,Greg Walker,Omar Sosa & Adam Rudolph
2,Martin Liege,Salina Cruz
2,Martin Liege,James Butler
2,Martin Liege,Colima
2,James Butler,Restaurant Lounge Background Music
2,James Butler,Florito
2,James Butler,Kai French
2,Martin Liege,Salina Cruz
2,Martin Liege,James Butler
2,Martin Liege,Colima
2,Afro-Cuban All Stars,Ibrahim Ferrer
2,Afro-Cuban All Stars,Rubén González
2,Afro-Cuban All Stars,Guillermo Portabales
2,Jimmie Lunceford,Fletcher Henderson
2,Jimmie Lunceford,Earl Hines
2,Jimmie Lunceford,Roy Eldridge
2,Dexter,509-E
2,Dexter,Snj
2,Dexter,RZO
2,Túlio Borges,Ryan Green and Scott Anderson
2,Túlio Borges,Caffeine Club
2,Túlio Borges,Yoshinari Nakamatsu
2,Mah Kouyaté,Sékouba Bambino
2,Mah Kouyaté,Alou Sangaré
2,Mah Kouyaté,Ami Koita
2,Shannon & Keast,Meg Birch
2,Shannon & Keast,Talisha Karrer
2,Shannon & Keast,The Shaken Bakers
2,Terry Dexter,Tanya Blount
2,Terry Dexter,Trina & Tamara
2,Terry Dexter,Big Bub
2,Kika Sprangers,Yuri Honing Acoustic Quartet
2,Kika Sprangers,Teus Nobel
2,Kika Sprangers,Eric Vloeimans
2,Wendell Brunious,The New Orleans Jazz Vipers
2,Wendell Brunious,Big Chief Monk Boudreaux
2,Wendell Brunious,"Huey ""Piano"" Smith"
2,David Finck,Eric Chacón
2,David Finck,Tobias Stavngaard
2,David Finck,Shane Hampsheir
2,Katie Noonan,Clare Bowditch
2,Katie Noonan,Clare Bowditch and The Feeding Set
2,Katie Noonan,Kate Ceberano
2,Joshua Redman Quartet,Joshua Redman
2,Joshua Redman Quartet,Brad Mehldau Trio
2,Joshua Redman Quartet,Chris Potter
2,Instrumental Jazz Music Ambient,Night-Time Jazz
2,Instrumental Jazz Music Ambient,GOOD MORNING MUSIC
2,Instrumental Jazz Music Ambient,French Cafe Music
2,Al Jolson,Paul Whiteman
2,Al Jolson,Gene Austin
2,Al Jolson,Ruth Etting
2,California Ramblers,Phil Baxter and His Orchestra
2,California Ramblers,Dixieland Bull's Band
2,California Ramblers,Carolina Club Orchestra
2,Lina Nyberg,Isabella Lundgren
2,Lina Nyberg,Vivian Buczek
2,Lina Nyberg,Ellas Kapell
2,Peter Szendofi,Doug Johns
2,Peter Szendofi,Alex Bershadsky
2,Peter Szendofi,Luke Vajsar
2,Roger Wolfe Kahn,Charlie Spivak
2,Roger Wolfe Kahn,Maurice Winnick
2,Roger Wolfe Kahn,Lew Stone & His Band
2,The Jazz Crusaders,The Crusaders
2,The Jazz Crusaders,Les McCann
2,The Jazz Crusaders,Lou Donaldson
