id_genero,artista,similar
4,Banda de Gaites Villa de Xixón,Xaime Martínez
4,"Quico El Célio, El Noi I El Mut De Ferreries",Pepet I Marieta
4,"Quico El Célio, El Noi I El Mut De Ferreries",La Carrau
4,"Quico El Célio, El Noi I El Mut De Ferreries",Miquel Gil
4,Cesk Freixas,Feliu Ventura
4,Cesk Freixas,Els Pets
4,Cesk Freixas,Lax'n'Busto
4,El Chico Amperio,PUK*2
4,El Chico Amperio,Mamá Ladilla
4,El Chico Amperio,Gérmenes
4,Juanes,Bacilos
4,Juanes,Carlos Vives
4,Juanes,Fonseca
4,Isla Iglú,Nunatak
4,Isla Iglú,Molina Molina
4,Isla Iglú,amatria
4,Hendrik Röver,Los Deltonos
4,Hendrik Röver,Los Enemigos
4,Hendrik Röver,Arizona Baby
4,Faith No More,Mr. Bungle
4,Faith No More,Tomahawk
4,Faith No More,Mike Patton
4,Alex Ubago,Sin Bandera
4,Alex Ubago,Cristian Castro
4,Alex Ubago,David Bisbal
4,Melange,Hemp Dept
4,Melange,Jah Torch
4,Melange,Раста Оркестра
4,Strombers,Txarango
4,Strombers,Xeic!
4,Strombers,Els Catarres
4,Joseba Tapia,Oskorri
4,Joseba Tapia,Tapia eta Leturia
4,Joseba Tapia,Alaitz Eta Maider
4,Feliu Ventura,La Carrau
4,Feliu Ventura,Conxita
4,Feliu Ventura,Gerard Quintana
4,Astarot,Basarabian Hills
4,Astarot,All The Cold
4,Astarot,Beqanatas
4,Autumn Comets,Wilhelm and the Dancing Animals
4,Autumn Comets,Retribution Gospel Choir
4,Autumn Comets,Hebronix
4,Molina Molina,Delafé
4,Molina Molina,Carmen 113
4,Molina Molina,Mostaza Gálvez
4,Animal,Still_bloom
4,Animal,Yüth Forever
4,Animal,Barrier
4,Roy Orbison,The Everly Brothers
4,Roy Orbison,Traveling Wilburys
4,Roy Orbison,Jerry Lee Lewis
4,Camilo Séptimo,Reyno
4,Camilo Séptimo,Odisseo
4,Camilo Séptimo,Comisario Pantera
4,Efecto Pasillo,Leiva
4,Efecto Pasillo,Melendi
4,Efecto Pasillo,Maldita Nerea
4,Robbie Williams,Take That
4,Robbie Williams,Robbie Williams & Kylie Minogue
4,Robbie Williams,Robbie Williams & Nicole Kidman
4,The Potes,McONAK
4,The Potes,BRIGADE LOCO
4,The Potes,Sofokaos
4,Nat Simons,The Bright
4,Nat Simons,Paula Rojo
4,Nat Simons,Hola a todo el mundo
4,Álvaro Urquijo,Enrique Urquijo y Los Problemas
4,Álvaro Urquijo,Los Limones
4,Álvaro Urquijo,Manolo Tena
4,Perlata,Kaosa Euskal Herrian
4,Perlata,Chaos in Basque Country
4,Perlata,Las Sexpeares
4,Caboverde,Avida Dollars
4,Caboverde,VIVEN
4,Caboverde,Ella La Rabia
4,Minor Empires,Nothink
4,Minor Empires,Catorce
4,Minor Empires,Böira
4,Tregua,Versoix
4,Tregua,NoProcede
4,Tregua,Gato Ventura
4,Nyandú,La Iaia
4,Nyandú,Quart Primera
4,Nyandú,Joan Colomo
4,Ochobre,Músicos pola oficialidá
4,Ochobre,Misiva
4,Ochobre,La Tarrancha
4,Koel,Full
4,Koel,Delafé
4,Koel,Rey Chico
4,Mikel Laboa,Benito Lertxundi
4,Mikel Laboa,Oskorri
4,Mikel Laboa,Xabier Lete
4,Egurra Ta Kitto,Ze Esatek!
4,Egurra Ta Kitto,Glaukoma
4,Egurra Ta Kitto,Nikotina
4,MARLENA,K!ngdom
4,MARLENA,st. Pedro
4,MARLENA,Mel Ömana
4,La Trinca,Mesclat
4,La Trinca,La Carrau
4,La Trinca,Els Pets
4,Stai Zitto,Maider Carral
4,Stai Zitto,Gatibu
4,Stai Zitto,Glaukoma
4,Dinamita Pa Los Pollos,Pistones
4,Dinamita Pa Los Pollos,Ramoncín
4,Dinamita Pa Los Pollos,091
4,Gotelé,Ciudad Jara
4,Gotelé,Comandante Twin
4,Gotelé,Elefantes
4,Quimi Portet,Adrià Puntí
4,Quimi Portet,Roger Mas
4,Quimi Portet,Gerard Quintana
4,Tachenko,La Costa Brava
4,Tachenko,Francisco Nixon
4,Tachenko,Travolta
4,Xarim Aresté,Ferran Palau
4,Xarim Aresté,Guillem Ramisa
4,Xarim Aresté,El Petit De Cal Eril
4,Chelsea Boots,Mediapunta
4,Chelsea Boots,The Levitants
4,Chelsea Boots,nostalgia.en.los.autobuses
4,Gimnástica,Mailers
4,Gimnástica,Ruidoblanco
4,Gimnástica,Embusteros
4,EraBatera,Willis Drummond
4,EraBatera,LiHer
4,EraBatera,Ezpalak
4,Duran Duran,Arcadia
4,Duran Duran,Kajagoogoo
4,Duran Duran,The Power Station
4,Ñekü,Angel Stanich
4,Ñekü,Astropålido
4,Ñekü,Molina Molina
4,Los Gatos del Gitano,El Niño de La Hipoteca
4,Los Gatos del Gitano,El Canijo de Jerez
4,Los Gatos del Gitano,Capitán Cobarde
4,Grises,Jero Romero
4,Grises,Neuman
4,Grises,Buffetlibre
4,ALIS,Lovely Luna
4,ALIS,El Chico Con La Espina En El Costado
4,ALIS,Pauline en la Playa
4,Los Retrovisores,Brighton 64
4,Los Retrovisores,Los Flechazos
4,Los Retrovisores,Cooper
4,Mujeres,Triángulo de Amor Bizarro
4,Mujeres,La Paloma
4,Mujeres,Cala Vento
4,Da Igual,nada que decir
4,Da Igual,Doctor Pitangú
4,Da Igual,Barrio Sur
4,Kiko Veneno,Pata Negra
4,Kiko Veneno,Ketama
4,Kiko Veneno,Los Delinqüentes
4,Skama la rede,Los Berrones
4,Skama la rede,La Tarrancha
4,Skama la rede,Sambre
4,Itaca Band,Buhos
4,Itaca Band,Doctor Prats
4,Itaca Band,Txarango
4,Nixon,Hormones in abundance
4,Nixon,Second-Hand Furniture
4,Nixon,The Tidy Ups
4,Qverno,Flinks
4,Qverno,Radio75
4,Qverno,Hell of a Mind
4,Vaquero,Chikita Violenta
4,Vaquero,Canseco
4,Vaquero,Los Abandoned
4,Alejandro Conde,Julio Madrid
4,Alejandro Conde,Alejandro Conde (F)
4,Alejandro Conde,Los Cabales
4,Barricada,Los Suaves
4,Barricada,Porretas
4,Barricada,Platero y tú
4,Urtz,EH Sukarra
4,Urtz,Latzen
4,Urtz,Etzakit
4,Durango14,Arizona Baby
4,Durango14,The Boo Devils
4,Durango14,Los Coronas
4,Xabi Bandini,NØGEN
4,Xabi Bandini,Olatz Salvador
4,Xabi Bandini,skakeitan
4,Ataque Escampe,The Homens
4,Ataque Escampe,Terbutalina
4,Ataque Escampe,Fanny + Alexander
4,Zona Oscura,Blooming Bairds
4,Zona Oscura,Amyl Justin & Peter Malick
4,Zona Oscura,DzYn Brothers (Братья ДзЫнь)
4,Os Amigos dos Músicos,Esposa
4,Os Amigos dos Músicos,Caxade
4,Os Amigos dos Músicos,Ataque Escampe
4,Miquel Gil,Al Tall
4,Miquel Gil,Feliu Ventura
4,Miquel Gil,Conxita
4,Melendi,Estopa
4,Melendi,El Canto del Loco
4,Melendi,Pereza
4,The Cardigans,A Camp
4,The Cardigans,Sixpence None the Richer
4,The Cardigans,Garbage
4,Wham!,George Michael
