nombre_artista,album,fecha,tipo,track
Loquillo Y Los Trogloditas,Tradición Rockera,2020-05-22,track,Coleccionistas
Quique González,Éxitos ocultos. Los 2000,2020-07-03,track,La vida te lleva por caminos raros
Maldita Nerea,Los Nº1 de Cadena 100 (2020),2020-06-19,track,Dos Besos Después
Amistades Peligrosas,Grandes Éxitos Del Pop Español,2020-06-08,track,Lágrimas de metal
Joe Crepúsculo,Ratas Salvajes,2020-01-22,track,Ratas Salvajes
Los Secretos,#QuedateEnCasa,2020-05-08,track,Pero a tu lado
Duo Dinamico,Balada Gitana (Remastered),2020-05-09,track,Hello Mary Lou - Remastered
Las Ruinas,Arruinaos (Live),2020-12-11,track,Cerveza Beer - Live
Miqui Puig,Mamá,2020-11-06,track,Regresas a Casa a las 10
Autoescuela,Club Deportivo Raíces,2020-04-03,track,La Oposición
Ivan Ferreiro,Éxitos ocultos. Los 2000,2020-07-03,track,SPNB
The Reflectors,"Radio Transmissions (Live at KXLU 88.9 FM, Los Angeles)",2020-08-28,track,Champagne (Live)
Chucho,Yoga Love,2020-05-29,track,Yoga Love
De Kermisklanten,Kerstklanken Door De Kermisklanten,2020-01-01,track,Aber Heidschi Bumbeidschi
Diana Navarro,Flamenquito Bueno,2020-07-03,track,Hiciste sangre en mis labios
Duo Dinamico,Mari Carmen (Remastered),2020-04-18,track,Mari Carmen - Remastered
Vanesa Martín,Carácter Latino 25 Aniversario,2020-07-03,track,Te has perdido quién soy
Marisol,Origenes (Remasterizado),2020-01-24,track,Tony - Remasterizado
Bravo Fisher!,Amor,2020-02-21,track,Pierdes
Marisol,Origenes (Remasterizado),2020-01-24,track,Final de la Pelicula Tómbola - Remasterizado
Leroy Van Dyke,Anthology: His Early Years (Remastered),2020-10-03,track,Take Good Care of Her - Remastered
Carlos Baute,Carácter Latino 25 Aniversario,2020-07-03,track,Colgando en tus manos (con Marta Sánchez)
Pastora Soler,Flamenquito Bueno,2020-07-03,track,Piensa en mi (Directo) - Live
Los Rebeldes,Carne para Tiburones (Remasterizado),2020-05-01,track,Maria Querida - Remasterizado
Love of Lesbian,Éxitos ocultos. Los 2000,2020-07-03,track,Incendios de nieve
Pablo Prisma y las Pirámides,Pensamiento Gigante,2020-11-10,track,Esto Nunca Va a Cambiar
David Otero,Otero y Yo (Vol. 2),2020-12-19,track,Una Vez Más
Marisol,Origenes (Remasterizado),2020-01-24,track,Mi Carita de Azucena (Tanguillo) - Remasterizado
Marisol,Origenes (Remasterizado),2020-01-24,track,Una Nueva Melodía - Remasterizado
Kazzabe,Festival de Independencia (En Vivo),2020-09-25,track,Jardin de Amor / Punta Rebane / Caracol - En Vivo
ALMAR,Eu Tô Apaixonado (Remix),2020-03-13,track,Eu Tô Apaixonado - Versão Estendida
Los Raros,Éxitos de Parranda,2020-07-21,track,Tocame Una
Claudio Villa,'O Sole mio (Remastered),2020-05-09,track,Chitarra romana - Remastered
Los Relicarios,"18 Grandes Éxitos, Vol. 1",2020-03-27,track,Esclavo del Licor
Javiera Mena,Flashback Remixes,2020-06-04,track,Flashback - Ballester Remix
Fausto,No me superas,2020-08-15,track,No me superas
Uriel Henao,Reinando en el 2020,2020-01-10,track,Homenaje a Jaime Garzon
Sekouba Kandia Kouyaté,Classic Vol 1,2020-12-04,track,Nina Cherie
JACK BORIS,Viva,2020-04-17,track,Parte do Que Eu Sou
Ryuichi Kawamura,Account of a dream,2020-07-01,track,無力な空
Fernando & Sorocaba,Fernando & Sorocaba Mais Tocadas,2020-04-17,track,Madri - Ao Vivo
Kaela Kimura,KAELA present 『CHRISTMAS ～Say ho-ho-ho!!～』 LIVE,2016-07-13,track,WONDER Volt(Live)
Sofia Källgren,Julen skynda jag väntar på dig,2016-11-18,track,Änglasång
Fanicko,Titina,2016-01-01,track,Titina
Paola Iezzi,Lovenight,2016,track,Lovenight (Nico Romano Extended Remix)
Will Hoge,Solo & Live: December 2015,2016-03-01,track,Still a Southern Man (Live)
João Bosco & Vinicius,Sertanejo Só Modão,2016-11-25,track,Tô De Boa - Live
Akram Mag,Mama Mia,2016-08-15,track,Mama Mia
Hernan Gómez,"La Tripleta Popular, Vol. 13",2016-11-25,track,Cuando No Estás Conmigo
Cupid's Carnival,Everything Is Love,2016-05-17,track,I Was the Boy
Silvan Galvão,Tambores Que Cantam,2016-11-13,track,Filha da Roseira
Elams,Devoir,2016-10-01,track,Devoir
El Charrito Negro,"La Tripleta Popular, Vol. 13",2016-11-25,track,A Ellas
Luis Felipe Gonzalez,3 Grandes de Venezuela,2016-11-07,track,La Tribu de San Fernándo
Montu Moni Saikia,Gagana 2016,2016-01-01,track,Dibane Kuwana
