nombre_artista,album,fecha,tipo,track
Ibrahim Maalouf,Dalida By Ibrahim Maalouf,2017-11-17,track,J'attendrai
Aretha Franklin,Respect - The Very Best of,2017-03-25,track,I Say a Little Prayer
Rick Hale,A Dream Is a Wish Your Heart Makes / Young at Heart (Mash-Up) [feat. Julissa Ruth],2017-08-08,track,A Dream Is a Wish Your Heart Makes / Young at Heart (Mash-Up) [feat. Julissa Ruth]
Diana Krall,Turn Up The Quiet,2017-05-05,track,Night And Day
Jamiroquai,Automaton,2017-03-31,track,Cloud 9
Diana Krall,Turn Up The Quiet,2017-05-05,track,Dream
Stacey Kent,I Know I Dream: The Orchestral Sessions (Deluxe Version),2017-10-19,track,Photograph
Parov Stelar,The Burning Spider,2017-04-21,track,My Man
Aretha Franklin,A Brand New Me: Aretha Franklin (with The Royal Philharmonic Orchestra),2017-11-10,track,Respect (with The Royal Philharmonic Orchestra)
Seal,Standards (Deluxe),2017-11-10,track,My Funny Valentine
Diana Krall,Turn Up The Quiet,2017-05-05,track,L-O-V-E
Emilie Schiøtt,After the Rain,2017-08-25,track,It May Be You
Carla Bruni,French Touch,2017-10-06,track,Jimmy Jazz
Ella Fitzgerald,Someone To Watch Over Me,2017-09-29,track,Let's Do It (Let's Fall In Love)
Gregory Porter,"Nat ""King"" Cole & Me (Deluxe)",2017-10-27,track,Smile
Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,2018-10-19,track,Pedro Navaja
Tord Gustavsen Trio,The Other Side,2018-08-31,track,Curves
Oakwood Station,For Better Times,2018-04-20,track,As We Believed
Arturo Sandoval,Ultimate Duets,2018-05-18,track,Corazón Partio
Keith Jarrett,After The Fall (Live),2018-03-02,track,One For Majid - Live
Scott Hamilton,Moon Mist,2018-05-18,track,Young and Foolish
Fab Samperi,Moonshine Crossroads,2018-06-08,track,That's Alright
Steve Tyrell,A Song For You,2018-02-09,track,Sunday Kind of Love
Sachal Vasandani,Shadow Train,2018-09-28,track,Unforgettable
Delvon Lamarr Organ Trio,Close but No Cigar,2018-03-02,track,Close but No Cigar
John Coltrane,Naima,2018-05-17,track,Equinox
Moca,Tempomat,2018-01-26,track,Latein
Oakwood Station,For Better Times,2018-04-20,track,Tiny Tiny Steps
Tony Bennett,Love Is Here To Stay,2018-09-14,track,They Can’t Take That Away From Me
Michael Bublé,love (Deluxe Edition),2018-11-16,track,Such a Night
Halie Loren,From the Wild Sky,2018-04-27,track,A Mi Manera
Chihiro Yamanaka,ユートピア,2018-06-20,track,乙女の祈り
Arturo Sandoval,Ultimate Duets,2018-05-18,track,La Bilirrubina
Esther Phillips,And I Love Him,2018-08-17,track,Try Me
Waldeck,Atlantic Ballroom,2018-10-12,track,Never Let You Go
Cyrus Chestnut,Kaleidoscope,2018-08-31,track,Darn That Dream
Ella Fitzgerald,Cheek To Cheek: The Complete Duet Recordings,2018-04-06,track,Oops!
Angela Caran,The Promise (Reshakes),2018-09-14,track,The Promise - Allovers Sexual Remix
Eve St. Jones,"Jazz Sexiest Ladies, Vol. 1",2018-05-11,track,The Look
Karen Souza,Ain't No Sunshine / My One and Only Love,2018-02-23,track,My One and Only Love
Madeleine Peyroux,Anthem,2018-08-31,track,We Might As Well Dance
Ours Samplus,Orphan Loops,2018-02-02,track,Blue Bird
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Before summer
Jazzanova,The Pool,2018-06-29,track,Summer Keeps On Passing Me By
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Water
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Coffee Tune
Tony Bennett,Love Is Here To Stay,2018-09-14,track,My One And Only
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Coffee Shop Street
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Jazz Classic
Leifur James,A Louder Silence,2018-10-05,track,Mumma Don't Tell
Karen Souza,"Jazz Sexiest Ladies, Vol. 1",2018-05-11,track,I Fall in Love Too Easily
Massimo Faraò Trio,How My Heart Sings,2018-01-17,track,Easy Living
Moca,Wroooooooooam,2018-01-19,track,Flotter Tag
Ana Popovic,Like It on Top,2018-09-14,track,Slow Dance
Lisa Bassenge,Borrowed and Blue,2018-09-28,track,Still Crazy After All These Years
Lisa Bassenge,Borrowed and Blue,2018-09-28,track,Three Cigarettes in an Ashtray
Nicole Henry,Moon River,2018-08-17,track,Moon River
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Coffee House Trip
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Peaceful
Cafe Music BGM channel,Coffee & Jazz,2018-11-09,track,Coffee & Jazz
Leo Sidran,Cool School (The Music of Michael Franks),2018-04-27,track,You Were Meant for Me
José James,Lean On Me,2018-09-28,track,Just The Two of Us
Paolo Fresu,Tempo Di Chet,2018-11-09,track,The Silence of Your Heart
Tony Bennett,Love Is Here To Stay,2018-09-14,track,'S Wonderful
Michael Bublé,love (Deluxe Edition),2018-11-16,track,La vie en rose (feat. Cécile McLorin Salvant)
Betty Carter,Avant-Garde Jazz (Remastered),2019-10-10,track,Every Time We Say Goodbye - Remastered
Foy Vance,From Muscle Shoals,2019-06-28,track,You Get To Me
Magnus Ringblom Quartet,As Life Turns Around,2019-07-26,track,Maybe Some Other Time
Ronald & the Fairies,Snow Keeps Falling,2019-12-02,track,Snow Keeps Falling
Ibrahim Maalouf,S3NS,2019-09-27,track,Una Rosa Blanca
Stephen Rogerson,Moon Over Brooklyn,2019-07-22,track,Black Orpheus
David Fitzpatrick Trio,Standards Volume 1,2019-07-22,track,All The Things You Are
Carl Bagge Trio,Långholmen Sessions Vol. 1,2019-05-09,track,Coming Back To Me
"Lafayette Harris, Jr.",You Can't Lose with the Blues,2019-11-01,track,Wonder Why
Jamie Cullum,The Age of Anxiety,2019-05-31,track,The Age Of Anxiety
Catherine Russell,Alone Together,2019-03-01,track,Alone Together
Hara Noda,Catcher,2019-08-16,track,Lights Ahead
Thomas Lauderdale,Hôtel amour,2019-04-22,track,À quoi ça sert l'amour
Bebo Valdés Trío,El Arte del Sabor,2019-03-19,track,Lamento Cubano
Hara Noda,Catcher,2019-08-16,track,Slide
Ben Flocks,Mask of the Muse,2019-08-16,track,Ebb Tide
Scott Hamilton,Danish Ballads... & More,2019-06-21,track,Forelsket i København
Renaud Garcia-Fons,Farangi (Du baroque à l'Orient),2019-04-26,track,Sylvains d'orient
Stephen Rogerson,Moon Over Brooklyn,2019-07-22,track,Don't Know Why
Paul Moretti Trio,Cheek To Cheek,2019-11-14,track,Someone To Watch Over Me
LTJ Xperience,Deepening of A Groove,2019-04-19,track,Infiltrator
Catherine Russell,Alone Together,2019-03-01,track,I Only Have Eyes For You
The Brothers Nylon,Lab Rats,2019-09-27,track,Elevator Vibes
Maxeen,Mo' Better Blues,2019-11-22,track,Mo' Better Blues
Nat King Cole,Ultimate Nat King Cole,2019-03-15,track,The Girl From Ipanema
Quantic,Atlantic Oscillations,2019-06-21,track,Atlantic Oscillations
Sarah McKenzie,Secrets of My Heart,2019-03-29,track,My True Love Is You
Flora Martínez,Moon Lover,2019-09-13,track,Blue Moon
Lyambiko,It's Oh So Quiet,2019-09-27,track,It's Oh So Quiet
Anthony Strong,Me and My Radio,2019-04-19,track,My Cherie Amour
Roberto Fonseca,Yesun,2019-10-18,track,Aggua
Oakwood Station,Somewhere Sometime,2019-11-15,track,Blue Spaces
Eric Rowland,Soon,2019-12-13,track,The End Of A Love Affair
Paul Moretti Trio,Cheek To Cheek,2019-11-14,track,Cheek To Cheek
Nils Landgren,4 Wheel Drive,2019-03-15,track,Maybe I'm Amazed
CMC 3,Setembro,2019-06-14,track,Love Is Here To Stay
Caravan Palace,Chronologic,2019-08-30,track,Moonshine
Bebo Best,Covers,2019-10-04,track,Come As You Are
Caravan Palace,Chronologic,2019-08-30,track,Miracle
Roberto Fonseca,Yesun,2019-10-18,track,Kachucha
Andrea Motis,Do Outro Lado Do Azul,2019-03-01,track,Mediterráneo
Cyrille Aimee,Move On: A Sondheim Adventure,2019-02-22,track,Loving You
Lluis Capdevila,Cinematic Radio,2019-08-05,track,Málaga
Jitwam,Honeycomb,2019-05-03,track,I'm a Rock
Norah Jones,Begin Again,2019-04-12,track,It Was You
Nicki Parrott,From New York To Paris,2019-04-05,track,I Will Wait For You
Eliane Elias,Love Stories,2019-08-30,track,Come Fly With Me
Sal Ritter,"Softly, as in a Morning Sunrise",2019-12-14,track,"Softly, as in a Morning Sunrise"
Catherine Russell,Alone Together,2019-03-01,track,You Turned The Tables On Me
Rick Hale,The Way I Am / Just the Way You Are (Mashup),2019-10-10,track,The Way I Am / Just the Way You Are (Mashup)
John Coltrane,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],2020-09-18,track,Giant Steps - 2020 Remaster
Karen Souza,Cheek to Cheek,2020-11-13,track,Cheek to Cheek
Brooklyn Smith,VOL.1,2020-01-03,track,Beautiful Love
Diana Krall,How Deep Is The Ocean,2020-08-14,track,How Deep Is The Ocean
Ramiro Pinheiro,Sonoroso,2020-07-17,track,Sonoroso
MARIO HEUTE,La Señora Cháfer (Feeling Groovy),2020-12-03,track,La Señora Cháfer (Feeling Groovy)
Diana Krall,This Dream Of You,2020-09-25,track,"Just You, Just Me"
Matt Dusk,Sinatra,2020-10-09,track,Summer Wind
Kandace Springs,The Women Who Raised Me,2020-03-27,track,Solitude
C. Moreira,Praia à noite,2020-06-13,track,Praia à noite
Nick Osman Trio,Rio,2020-10-23,track,Rio
Simone Kopmajer,My Wonderland,2020-06-26,track,A Man and a Woman
Peggy Lee,Ultimate Peggy Lee,2020-04-17,track,"Hallelujah, I Love Him So"
Quantic,Theme from Selva,2020-10-30,track,Nineteen Hundred and Eighty Five
Lauren Richardson,A Flower is a Lonesome Thing,2020-05-18,track,Isfahan
Thomas Dutronc,C’est si bon,2020-01-17,track,C'est si bon
Ellie Johnson Trio,Street of Dreams,2020-06-15,track,Volare
Kat Edmonson,Dreamers Do,2020-02-07,track,What a Wonderful World
Richard Freeman,Luna,2020-10-06,track,Exquisite Mood
Melody Gardot,Sunset In The Blue,2020-10-23,track,Sunset In The Blue
Thomas Dutronc,La belle vie - The Good Life,2020-06-05,track,La belle vie - The Good Life
Laura & Anton,Castles in the Air,2020-10-06,track,Castles in the Air
Art Hirahara,Balance Point,2020-04-17,track,Ascent
Karen Souza,Language of Love,2020-03-02,track,This Masquerade
Thomas Dutronc,Frenchy (Deluxe Version),2020-12-04,track,Un homme et une femme
Bebo,Lagrimas Negras,2020-06-20,track,Lagrimas Negras
Karen Souza,I've Got You Under My Skin,2020-10-02,track,I've Got You Under My Skin
The Bahama Soul Club,Bohemia After Dawn,2020-07-17,track,Mango
Parov Stelar,"Voodoo Sonic (The Trilogy, Pt. 3)",2020-09-04,track,Tango Del Fuego
Norah Jones,Were You Watching?,2020-05-13,track,Were You Watching?
Pugface,Smoke,2020-02-10,track,Smoke
Melody Gardot,Sunset In The Blue,2020-10-23,track,Moon River
Flora Martínez,I´m a Fool to Want You,2020-08-07,track,I´m a Fool to Want You
Matt Dusk,Sinatra,2020-10-09,track,I've Got You Under My Skin
The Bahama Soul Club,Bohemia After Dawn,2020-07-17,track,Ain’t Nobody’s Biz-Ness If I Do
Single,Hola,2020-02-14,track,Hola
Moonlight Jazz Trio,The Shadow Of Your Smile,2020-03-19,track,The Shadow of Your Smile
Kamasi Washington,Becoming (Music from the Netflix Original Documentary),2020-05-15,track,Song For Fraser
Shanice Green,Last Forever,2020-08-13,track,Last Forever
Melody Gardot,Sunset In The Blue,2020-10-23,track,C’est Magnifique
