nombre_artista,album,fecha,tipo,track
Wolfgang Amadeus Mozart,Mozart: Oboe Concerto & Other Works with Oboe,2016-09-30,track,"Divertimento No. 11 in D Major, K. 251 ""Nannerl Septet"": IV. Menuetto. Theme & Variations"
Pietro Locatelli,Locatelli Capricci for Solo Violin,2016-01-01,track,24 capriccios for Solo Violin: XVII. Capriccio No. 17 in G Major
Richard Wagner,"Wagner: Lohengrin, WWV 75 (Wiener Staatsoper Live)",2016-01-01,track,"Lohengrin, WWV 75, Act III: Habt Dank, ihr Lieben von Brabant! (Live)"
Ole Bull,"The Great Violins, Vol. 2: Niccolò Amati",2016-07-08,track,Aurora
Dimanche FR,Sweet Classicals for Pregnant Mothers,2016-05-18,track,"Piano Concerto No.1 In G Minor, Op.25 - III. Presto - Molto Allegro e vivace"
Giuseppe Verdi,Verdi: Falstaff (Excerpts),2016-01-01,track,Falstaff (Excerpts): Egli scavalca le siepi del giardino
Max Reger,Reger: Complete Works for Violin and Piano & Complete Cello Sonatas,2016-08-26,track,"Cello Sonata No. 3 in F Major, Op. 78: III. Andante con variazioni"
Stephen Dodgson,Stephen Dodgson: Complete Music for Cello & Piano,2016-10-07,track,"2 Romantic Pieces, Set 2: No. 2. Moderato Flessibile"
Richard Strauss,"Strauss: Der Rosenkavalier, Op. 59",2017-09-28,track,"Der Rosenkavalier, Op. 59, Act 1: XI. Die Zeit, die ist ein sonderbar’ Ding (Marschallin)"
Pablo Sorozábal,Los 101 momentos de la Zarzuela,2017-03-31,track,La eterna canción: Romanza de Laura
Ludwig van Beethoven,"Salt Of The Earth ; Beethoven, Dutilleux, Brotons, Garson, Loevendie, Albéniz, Fauré",2017-02-10,track,"Horn Sonata In F Major, Op. 17: III. Rondó"
Manuel de Falla,"Sinfonías de la mañana, Vol. 2",2017-11-24,track,"Falla: 7 Canciones populares españolas: No. 5, Nana"
Henri Dutilleux,"Salt Of The Earth ; Beethoven, Dutilleux, Brotons, Garson, Loevendie, Albéniz, Fauré",2017-02-10,track,Sonatina para Flauta y Piano
Claude Debussy,Dante,2017-05-19,track,"Images, Book 1, L. 110: No. 1, Reflets dans l'eau"
Pablo Sorozábal,Los 101 momentos de la Zarzuela,2017-03-31,track,Don Manolito - Romanza de Margot- Una rosa en su tallo
Richard Strauss,"Strauss: Der Rosenkavalier, Op. 59",2017-09-28,track,"Der Rosenkavalier, Op. 59, Act 1: IX. Da geht er hin, der aufgeblas’ne, schlechte Kerl (Marschallin)"
Juan María Solare,Sombras blancas,2017-11-19,track,Para una mano pequeña
Johannes Brahms,Brahms: Complete Piano Trios and Quartets,2017-11-03,track,"String Sextet No. 1 in B-Flat Major, Op. 18 (arr. T. Kirchner for Piano Trio): II. Andante ma moderato"
Francois Devienne,Flute Concertos,2017-05-26,track,Flute Concerto No. 3 in G Major: II. Romance
Johann Sebastian Bach,甦るソナタ　J. S. バッハ,2017-03-08,track,2本のフルートと通奏低音のためのトリオソナタ ト長調 BWV1039: I. Adagio (with 小谷智子）
Gustav Mahler,"Michael Gielen Edition, Vol. 6: Mahler Symphonies & Orchestral Song Cycles (Recorded 1988-2014)",2017-09-08,track,Symphony No. 5: V. Rondo - Finale. Allegro
George Frideric Handel,Handel: 16 Concertos for Organ and Orchestra,2017-08-17,track,"Organ Concerto No. 3 in G Minor, Op. 4, HWV 291: II. Allegro"
Simone Pedroni,John Williams: Themes And Transcriptions For Piano,2017-07-07,track,"The People's House - From ""Lincoln"""
Johann Sebastian Bach,Música Clásica para Conducir,2017-08-29,track,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. Allegro"
Wolfgang Amadeus Mozart,Música Clásica para Conducir,2017-08-29,track,"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro"
