artista,oyentes,reproducciones
Harpa Dei,8341,175583
Gabríel Ólafs,208280,1504072
Óscar Lobete,248,21812
Brian Eno,1724263,67070885
A. Blomqvist,111587,559672
Christoph Bale,2034,4924
Florence + The Machine,12957,148103
Lennart Altgenug,48592,229659
Dragonage,4337,19964
Sham Stalin,11391,80496
Gustav Mahler,749224,8419428
Stephan Moccio,359021,2912153
James Liam Figueroa,32187,357914
Edward Elgar,506106,4206763
Luciano Pavarotti,513426,4981549
Jon Hopkins,911192,26414684
Anastasia Kobekina,8886,46959
Yohei Kuriko,2365,15605
White_Records,817,2838
French Fuse,38240,204008
Emiliano Blangero,105622,495121
Steyl,5569,44424
Ophelia Wilde,115800,1947760
Lysander,48438,580996
Ludovico Einaudi,1727565,65247170
Marie Awadis,27438,81284
Vian Izak,124514,1501898
Robert Gromotka,98292,541648
Daniel Deuschle,9651,76812
Loreen,753584,19323404
Niko Vira,7,7
Adrián Berenguer,68732,602214
Koshun Nakao,47326,209604
Chen Gang,9109,40134
Dulpe Damel,6320,21065
