nombre_artista,album,fecha,tipo,track
Volbeat,"Rewind, Replay, Rebound (Deluxe)",2019-08-02,track,Cheapside Sloggers
Royal Republic,Club Majesty,2019-05-31,track,Anna-Leigh
J.J. Cale,Stay Around,2019-04-26,track,Go Downtown
Set It Off,Midnight,2019-02-01,track,Lonely Dance
Vico y su Grupo Karicia,La Guitarra y Yo,2019-09-13,track,El Divorcio
The Radio Dept.,"I Don't Need Love, I've Got My Band",2019-08-23,track,Pulling Our Weight
Dayglow,Fuzzybrain,2019-11-14,track,Run the World!!!
Djo,Twenty Twenty,2019-09-13,track,Personal Lies
HONEYMOAN,Body,2019-06-28,track,Low Blow
Stereophonics,Fly Like an Eagle,2019-08-15,track,Fly Like an Eagle
The Haunt,Cigarettes & Feelings,2019-09-27,track,Cigarettes & Feelings
Reignwolf,Hear Me Out,2019-03-01,track,Over & Over
Bryan Adams,Shine A Light,2019-03-01,track,Shine A Light
Snowy White,The Situation,2019-04-19,track,The Situation
Lloyd Spiegel,Cut and Run,2019-09-03,track,Any Second Now
The Voidz,Did My Best,2019-12-13,track,Did My Best
Twin Tribes,Ceremony,2019-12-13,track,Upir
The Rolling Stones,Honk (Deluxe),2019-04-19,track,Living In A Ghost Town
gulu gulu,Kubiwa Kyouiku no Susume (Radio Edit Ver.),2019-11-05,track,Kubiwa Kyouiku no Susume (Radio Edit Ver.)
Rory Gallagher,Blues,2019-05-31,track,Should've Learnt My Lesson - Deuce Album Session / Alternative Acoustic Take / 1971
Slow Pulp,Big Day,2019-05-15,track,High
Peach Pit,You and Your Friends,2020-04-03,track,Shampoo Bottles
Ozzy Osbourne,Ordinary Man,2020-02-21,track,Straight to Hell
Toño y su Grupo Centella,Volumen 5,2020-06-08,track,Mil Pedazos
Sir Chloe,Party Favors,2020-10-23,track,Sedona
The 1975,Notes On A Conditional Form,2020-05-22,track,Me & You Together Song
Point North,Brand New Vision,2020-08-21,track,Into The Dark (feat. Kellin Quinn)
Linkin Park,Hybrid Theory (20th Anniversary Edition),2020-10-09,track,In the End
flipturn,Something You Needed,2020-02-07,track,Glistening
POORSTACY,The Breakfast Club (Deluxe Edition),2020-07-24,track,Don't Look At Me
Vestron Vulture,Lionheart,2020-10-10,track,Judas Effect
Elvis Presley,The 50 Greatest Hits,2020-04-03,track,Heartbreak Hotel
ALESTI,Take the Pain Away,2020-05-29,track,Take the Pain Away
Slomosa,Slomosa,2020-08-28,track,Scavengers
Bersuit Vergarabat,De la Cabeza 2,2020-03-06,track,Tuyo Siempre - En Vivo
Self Deception,Shapes,2020-03-13,track,Hell and Back
Green Day,Father of All...,2020-02-07,track,Father of All...
Metallica,Blackened 2020,2020-05-15,track,Blackened 2020
The Sweet Serenades,City Lights,2020-03-27,track,Out of Time
Betcha,Feels Like We’ve Been Here Before,2020-10-16,track,July
The Rose,Black Rose,2020-08-23,track,Black Rose
Los Internacionales Nenes de la Cumbia,Grandes Éxitos,2020-08-09,track,Tu Abandono
Bunbury,Posible,2020-05-29,track,Hombre de acción
Steinar Ytrehus,Dark Songs,2020-01-13,track,MC Brady
Avenged Sevenfold,Diamonds in the Rough,2020-02-07,track,Until the End
AC/DC,POWER UP,2020-11-13,track,Code Red
Good Kid,Drifting,2020-08-28,track,Drifting
Five Finger Death Punch,F8,2020-02-28,track,Living The Dream
Sam Tinnesz,Warplanes,2020-05-15,track,Bloodshot
Autumn Kings,Echo (Ready for War),2020-01-17,track,Echo (Ready for War)
TTRRUUCES,TTRRUUCES,2020-06-26,track,Sensations of Cool
Sonny Landreth,Blacktop Run,2020-02-21,track,Somebody Gotta Make A Move
Elvis Presley,The 50 Greatest Hits,2020-04-03,track,Hound Dog
Gorillaz,Song Machine Episode 2,2020-02-27,track,Désolé (feat. Fatoumata Diawara)
Elvis Presley,The 50 Greatest Hits,2020-04-03,track,Blue Suede Shoes
Loathe,I Let It in and It Took Everything,2020-02-07,track,A Sad Cartoon
Ciro y los Persas,Guerras (Un Viaje en el Tiempo),2020-11-20,track,El Farolito (Acústico)
Metallica,S&M2,2020-08-28,track,All Within My Hands - Live
The Rumpled,Toss the Coin,2020-03-13,track,The Gipsy Dancer
Leonora Post Punk,Eternos,2020-05-07,track,Eternos
Bayronn Caicedo,Cojiendote los Calzones,2020-02-20,track,La Vaca Loca
The Killers,Caution (Radio Edit),2020-03-12,track,Caution - Radio Edit
Biig Piig,Switch,2020-03-31,track,Switch
Temples,Paraphernalia,2020-09-02,track,Paraphernalia
Deep Purple,Whoosh!,2020-08-07,track,Throw My Bones
Jaime Enrique Aymara,Todos Sus Éxitos,2020-02-03,track,Mi Corazón Sufrido
24kGoldn,CITY OF ANGELS (feat. YUNGBLUD) [YUNGBLUD Remix],2020-04-21,track,CITY OF ANGELS (feat. YUNGBLUD) - YUNGBLUD Remix
All Them Witches,Nothing as the Ideal,2020-09-04,track,41
Ozzy Osbourne,Ordinary Man,2020-02-21,track,Under the Graveyard
Orchestral Manoeuvres In The Dark,Enola Gay (Remixes),2020-12-04,track,Enola Gay - Extended Mix
Elles Bailey,Don't Let the Green Grass Fool You,2020-06-26,track,Don't Let the Green Grass Fool You
Eric Clapton,Live in San Diego,2016-09-30,track,"Wonderful Tonight (with J.J. Cale) - Live at Ipayone Center, San Diego, CA, 3/15/2007"
Pink Floyd,1972 Obfusc/ation,2016-11-11,track,Echoes (Live at Pompeii) [2016 Remix]
Night Moves,Pennied Days,2016-03-25,track,Carl Sagan
Airbag,Mentira La Verdad,2016-09-16,track,Relámpagos
Phil Collins,The Singles,2016-10-14,track,Against All Odds (Take a Look at Me Now) - 2016 Remaster
The Growlers,City Club,2016-09-30,track,When You Were Made
David Bowie,Blackstar,2016-01-08,track,Girl Loves Me
Bunbury,Archivos Vol. 1: Tributos y BSOs,2016-11-11,track,Eres Bellisima
