nombre_artista,album,fecha,tipo,track
Rozalén,Cuando el Río Suena...,2017-09-15,track,La Puerta Violeta
Calvin Harris,Funk Wav Bounces Vol.1,2017-06-30,track,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
Dua Lipa,Dua Lipa (Deluxe),2017-06-02,track,IDGAF
Cigarettes After Sex,Cigarettes After Sex,2017-06-09,track,Apocalypse
Alejandro Fernández,Rompiendo Fronteras,2017-01-13,track,Sé Que Te Duele
Dua Lipa,Dua Lipa (Deluxe),2017-06-02,track,New Rules
Zara Larsson,So Good,2017-03-17,track,Lush Life
Pablo Alborán,Prometo,2017-06-01,track,Saturno
Carlos Vives,VIVES,2017-11-10,track,La Bicicleta
Antoñito Molina,Déjame que te cuante,2017-02-13,track,Yo soy pa ti
Ana Mena,A otro ritmo,2018-01-01,track,A otro ritmo
Dua Lipa,Dua Lipa (Complete Edition),2018-10-19,track,Kiss and Make Up
Morat,Balas Perdidas,2018-10-25,track,Otras Se Pierden
Maroon 5,Red Pill Blues (Deluxe),2018-06-15,track,Don't Wanna Know (feat. Kendrick Lamar)
BTS,Love Yourself 轉 'Tear',2018-05-18,track,FAKE LOVE
Sebastian Yatra,MANTRA,2018-05-18,track,Por Perro
Silk City,Electricity,2018-09-06,track,Electricity
Galvan Real,Báilame Lola,2018-12-28,track,Báilame Lola
Mr. Kilombo,Cerrando Puntos Suspensivos,2018-11-23,track,Sinmigo
Ariana Grande,Sweetener,2018-08-17,track,God is a woman
Melendi,Ahora,2018-03-09,track,El Arrepentido
Maroon 5,Red Pill Blues (Deluxe),2018-06-15,track,What Lovers Do (feat. SZA)
Los Rebujitos,9+1,2018-06-15,track,Le Pediré a la Luna
Charlie Puth,Voicenotes,2018-05-11,track,How Long
Paulina Rubio,Deseo,2018-09-13,track,Mi Nuevo Vicio
Zedd,The Middle,2018-01-23,track,The Middle
Piso 21,Te Amo,2018-03-15,track,Te Amo
Kany García,Soy Yo,2018-05-18,track,Para Siempre
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,track,Nothing Breaks Like a Heart (feat. Miley Cyrus)
Maka,Dvende,2018-09-21,track,Capricho del Destino
Morat,Balas Perdidas,2018-10-25,track,Acuérdate De Mí
Morat,Balas Perdidas,2018-10-25,track,Cuando Nadie Ve
Lukas Graham,3 (The Purple Album),2018-10-26,track,Love Someone
Sarayma,Algo Especial en Ti,2018-03-02,track,Algo Especial en Ti
Niña Pastori,Realmente Volando (En Directo),2018-11-09,track,Válgame Dios (with Antonio Orozco) - En Directo
Parcels,Tieduprightnow,2018-04-27,track,Tieduprightnow
Maka,Dvende,2018-09-21,track,El Arte de Vivir
Morat,Balas Perdidas,2018-10-25,track,Besos En Guerra
Sebastian Yatra,MANTRA,2018-05-18,track,No Hay Nadie Más
BLACKPINK,SQUARE UP,2018-06-15,track,DDU-DU DDU-DU
Calum Scott,Only Human (Deluxe),2018-03-09,track,Dancing On My Own
Morat,Balas Perdidas (Edición Especial),2018-10-25,track,Presiento
Ariana Grande,Sweetener,2018-08-17,track,no tears left to cry
TINI,Quiero Volver,2018-10-12,track,Consejo de Amor (feat. Morat)
Maki,Quisiera parar el tiempo (Incondicional trilogía parte dos),2018-04-13,track,Quisiera parar el tiempo (feat. Demarco Flamenco)
Sergio Contreras,La reina del local (feat. Manuel Delgado),2018-03-09,track,La reina del local (feat. Manuel Delgado)
Maka,Dvende,2018-09-21,track,La Vida Es Hermosa
Melendi,Destino o casualidad,2018-05-01,track,Destino o casualidad
Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,track,One Kiss (with Dua Lipa)
Depedro,Todo va a salir bien,2018-10-26,track,Te sigo soñando (feat. Luz Casal) - En Estudio Uno
Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),2018-10-05,track,Always Remember Us This Way
Morat,Balas Perdidas,2018-10-25,track,No Se Va
Piso 21,Te Vi,2018-12-14,track,Te Vi
Jonas Blue,Blue,2018-11-09,track,Fast Car
Fonseca,Agustín,2018-10-26,track,Simples Corazones (feat. Melendi)
James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),2018-10-25,track,Rewrite The Stars (with James Arthur & Anne-Marie)
Piso 21,Ubuntu,2018-05-11,track,Déjala Que Vuelva (feat. Manuel Turizo)
Sean Paul,Mad Love The Prequel,2018-06-29,track,No Lie
Maka,Dvende,2018-09-21,track,Cositas del Amor
Lady Gaga,A Star Is Born Soundtrack,2018-10-05,track,Always Remember Us This Way
Sergio Contreras,Cicatrices (feat. Indara),2019-05-24,track,Cicatrices (feat. Indara)
Maná,Rayando el Sol (feat. Pablo Alborán),2019-04-12,track,Rayando el Sol (feat. Pablo Alborán)
Alejandro Sanz,Mi Persona Favorita,2019-03-28,track,Mi Persona Favorita
Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,track,Doin' Time
Taylor Swift,Lover,2019-08-23,track,You Need To Calm Down
JP Saxe,If the World Was Ending (feat. Julia Michaels),2019-10-17,track,If the World Was Ending (feat. Julia Michaels)
Harry Styles,Fine Line,2019-12-13,track,Golden
Pablo Alborán,Peces de Ciudad (feat. Pablo López),2019-11-07,track,Peces de Ciudad (feat. Pablo López)
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,track,Someone You Loved
Canelita,Llama Viva,2019-12-07,track,Llama Viva
Siempre Asi,Esencial Siempre Así,2019-04-26,track,A Mi Manera
Kygo,Higher Love,2019-06-28,track,Higher Love
Taylor Swift,Lover,2019-08-23,track,The Man
Galvan Real,Tu Juego,2019-05-10,track,Tu Juego
El Barrio,El Danzar De Las Mariposas,2019-10-24,track,Agua Fresca
Ed Sheeran,No.6 Collaborations Project,2019-07-12,track,South of the Border (feat. Camila Cabello & Cardi B)
Galvan Real,Tu Velero,2019-07-21,track,Tu Velero
Morat,A Dónde Vamos,2019-10-31,track,A Dónde Vamos
Siempre Asi,Esencial Siempre Así,2019-04-26,track,Para Volver a Volver
Demarco Flamenco,Le sonrío al agua,2019-03-29,track,Pa Ti y Pa Mí Na Má
Galvan Real,La Vida Bailando,2019-08-28,track,La Vida Bailando
Sebastian Yatra,Un Año,2019-01-18,track,Un Año
Sebastian Yatra,FANTASÍA,2019-04-12,track,Cristina
El Arrebato,Abrazos,2019-09-19,track,Si La Hubieras Visto
Topic,Breaking Me,2019-12-19,track,Breaking Me
Manuel Turizo,ADN,2019-08-23,track,Esperándote
Greeicy,Baila,2019-05-17,track,Destino
Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,track,Before You Go
Ariana Grande,"thank u, next",2019-02-08,track,"thank u, next"
Cigarettes After Sex,Cry,2019-10-25,track,Heavenly
Camilo,Tutu,2019-08-09,track,Tutu
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,track,Hold Me While You Wait
Ed Sheeran,I Don't Care (with Justin Bieber),2019-05-10,track,I Don't Care (with Justin Bieber)
Galvan Real,Azahara,2019-09-16,track,Azahara
Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,track,RITMO (Bad Boys For Life)
Beret,Prisma,2019-10-25,track,Lo siento (feat. Sofía Reyes)
Alejandro Sanz,#ELDISCO,2019-04-04,track,Mi Persona Favorita
Reik,Ahora,2019-05-31,track,Amigos Con Derechos
El Arrebato,Abrazos,2019-09-19,track,Primaveras En El Pelo
Luis Cortés,Ojalá,2019-11-29,track,Ojalá
Jonas Brothers,Happiness Begins,2019-06-07,track,Sucker
Manuel Turizo,ADN,2019-08-23,track,Culpables
Lewis Capaldi,Before You Go,2019-11-19,track,Before You Go
El Barrio,El Danzar De Las Mariposas,2019-10-24,track,El Danzar De Las Mariposas
BLACKPINK,KILL THIS LOVE,2019-04-05,track,Kill This Love
Sebastian Yatra,FANTASÍA,2019-04-12,track,Un Año
Galvan Real,La Luna,2019-11-21,track,La Luna
R3HAB,All Around The World (La La La),2019-04-05,track,All Around The World (La La La)
Mark Ronson,Late Night Feelings,2019-06-21,track,Nothing Breaks Like a Heart (feat. Miley Cyrus)
Dua Lipa,Don't Start Now,2019-10-31,track,Don't Start Now
Jung Kook,Still With You,2020-06-05,track,Still With You
BLACKPINK,THE ALBUM,2020-10-02,track,Pretty Savage
BTS,BE,2020-11-20,track,Life Goes On
Miley Cyrus,Plastic Hearts,2020-11-27,track,Prisoner (feat. Dua Lipa)
Ava Max,Heaven & Hell,2020-09-18,track,My Head & My Heart
BLACKPINK,THE ALBUM,2020-10-02,track,Lovesick Girls
Sebastian Yatra,Chica Ideal,2020-10-16,track,Chica Ideal
India Martinez,Convénceme,2020-10-01,track,Convénceme
Black Eyed Peas,TRANSLATION,2020-11-02,track,GIRL LIKE ME
Sam Smith,Love Goes,2020-10-30,track,Fire On Fire
Ava Max,Heaven & Hell,2020-09-18,track,Sweet but Psycho
Javi Medina,Dime Quién Soy Yo,2020-06-26,track,Dime Quién Soy Yo
Stray Kids,GO LIVE,2020-06-17,track,God’s Menu
Kike & Manu,Nuestra Historia,2020-10-30,track,Nuestra Historia
Borja Rubio,Todavía,2020-03-30,track,Todavía
La Oreja de Van Gogh,Un Susurro en la Tormenta,2020-09-18,track,Durante una Mirada
Black Eyed Peas,TRANSLATION,2020-11-02,track,RITMO (Bad Boys For Life)
Camilo,El Mismo Aire (con Pablo Alborán),2020-06-10,track,El Mismo Aire - con Pablo Alborán
El Arrebato,+ Abrazos (Edición Especial),2020-12-03,track,Poquito A Poco
El Duende Callejero,A La Calle,2020-07-16,track,A La Calle
Luis Cortés,Esa Morena,2020-12-04,track,Esa Morena
Camilo,Favorito,2020-03-26,track,Favorito
Maka,Bendiciones,2020-10-09,track,Deseo - Remix
The Weeknd,After Hours,2020-03-20,track,In Your Eyes
Dua Lipa,Future Nostalgia,2020-03-27,track,Physical
Ariana Grande,Positions,2020-10-30,track,positions
Rasel,Gitana (feat. Sergio Contreras y Demarco Flamenco),2020-01-31,track,Gitana (feat. Sergio Contreras y Demarco Flamenco)
David Bisbal,En Tus Planes,2020-01-02,track,A Partir De Hoy
Dua Lipa,Future Nostalgia,2020-03-27,track,Levitating (feat. DaBaby)
Joel Corry,Head & Heart (feat. MNEK),2020-07-03,track,Head & Heart (feat. MNEK)
Dua Lipa,Future Nostalgia,2020-03-27,track,Love Again
El Duende Callejero,Nuestra Manera De Hablar,2020-03-06,track,Entre Tú Y Yo
Dua Lipa,Future Nostalgia,2020-03-27,track,Break My Heart
Galvan Real,Volverte A Ver,2020-12-16,track,Volverte A Ver
Ava Max,Heaven & Hell,2020-09-18,track,Kings & Queens
Charli xcx,how i'm feeling now,2020-05-15,track,party 4 u
