id_genero,artista,similar
3,Kylie Minogue,Dannii Minogue
3,Kylie Minogue,Sophie Ellis-Bextor
3,Kylie Minogue,Madonna
3,Armin van Buuren,Andrew Rayel
3,Armin van Buuren,Ferry Corsten
3,Armin van Buuren,Ben Gold
3,Tony Ronald,Bruno Lomas
3,Tony Ronald,Santabarbara
3,Tony Ronald,Dúo Dinámico
3,Depressing Claim,Los Reactivos
3,Depressing Claim,No Picky
3,Depressing Claim,Fast Food
3,Jarabe De Palo,Fito Y Fitipaldis
3,Jarabe De Palo,El Canto del Loco
3,Jarabe De Palo,Enanitos Verdes
3,Vainica Doble,Carlos Berlanga
3,Vainica Doble,Single
3,Vainica Doble,Aventuras De Kirlian
3,Nuevos Hobbies,El Palacio De Linares
3,Nuevos Hobbies,Hazte Lapón
3,Nuevos Hobbies,Río Arga
3,Umberto Tozzi,Ricchi e poveri
3,Umberto Tozzi,Toto Cutugno
3,Umberto Tozzi,Al Bano & Romina Power
3,Camela,El Arrebato
3,Camela,Estopa
3,Camela,El Canto del Loco
3,Grises,Jero Romero
3,Grises,Neuman
3,Grises,Buffetlibre
3,Corizonas,Arizona Baby
3,Corizonas,The Right Ons
3,Corizonas,El Meister
3,Poupie,Aloïse Sauvage
3,Poupie,kalika
3,Poupie,The Pirouettes
3,Makarines,Diego Magallanes
3,Makarines,Ginera Ortega
3,Makarines,Alicia Gil
3,Justin Timberlake,*NSYNC
3,Justin Timberlake,Usher
3,Justin Timberlake,Timbaland
3,Aitana,Ana Mena
3,Aitana,Belén Aguilera
3,Aitana,Lola Indigo
3,Efecto Pasillo,Leiva
3,Efecto Pasillo,Melendi
3,Efecto Pasillo,Maldita Nerea
3,Miguel Bosé,Alejandro Sanz
3,Miguel Bosé,Emmanuel
3,Miguel Bosé,Aleks Syntek
3,Radio Futura,Burning
3,Radio Futura,Gabinete Caligari
3,Radio Futura,Nacha Pop
3,Alesso,Martin Garrix
3,Alesso,Hardwell
3,Alesso,Afrojack
3,Betacam,Kokoshca
3,Betacam,Los lagos de Hinault
3,Betacam,La estrella de David
3,MARLENA,K!ngdom
3,MARLENA,st. Pedro
3,MARLENA,Mel Ömana
3,George Ezra,Vance Joy
3,George Ezra,James Bay
3,George Ezra,Tom Grennan
3,Liam Payne,Zayn
3,Liam Payne,One Direction
3,Liam Payne,Niall Horan
3,Kokoshca,Betacam
3,Kokoshca,Rusos Blancos
3,Kokoshca,La estrella de David
3,Sia,Bebe Rexha
3,Sia,Adele
3,Sia,Birdy
3,The Civil Wars,Damien Rice
3,The Civil Wars,Ray LaMontagne
3,The Civil Wars,Mumford & Sons
3,Sebastian Yatra,Piso 21
3,Sebastian Yatra,Cali & El Dandee
3,Sebastian Yatra,Manuel Turizo
3,Sexy Sadie,Australian Blonde
3,Sexy Sadie,Tachenko
3,Sexy Sadie,La Costa Brava
3,Paco Candela,Lubricán
3,Paco Candela,Ecos del Rocío
3,Paco Candela,María de la Colina
3,Antonio José,Pablo López
3,Antonio José,Manuel Carrasco
3,Antonio José,Antonio Orozco
3,Duran Duran,Arcadia
3,Duran Duran,Kajagoogoo
3,Duran Duran,The Power Station
3,Marisol,Los Secretos
3,Marisol,Massiel
3,Marisol,Los Bravos
3,Kungs,Ofenbach
3,Kungs,Martin Solveig
3,Kungs,Feder
3,Tequila,Leño
3,Tequila,Los Ronaldos
3,Tequila,Burning
3,Tachenko,La Costa Brava
3,Tachenko,Francisco Nixon
3,Tachenko,Travolta
3,Lola Indigo,Ana Mena
3,Lola Indigo,Aitana
3,Lola Indigo,Belén Aguilera
3,Sylvia Pantoja,Tatiana Delalvz
3,Sylvia Pantoja,La Húngara
3,Sylvia Pantoja,Rosa López
3,Ana Guerra,Miriam Rodríguez
3,Ana Guerra,Vicco
3,Ana Guerra,Aitana
3,Leiva,Pereza
3,Leiva,Vetusta Morla
3,Leiva,Sidecars
3,Hans Laguna,Cosmen Adelaida
3,Hans Laguna,Les Sueques
3,Hans Laguna,Las Ruinas
3,a-ha,Morten Harket
3,a-ha,Alphaville
3,a-ha,Duran Duran
3,Loquillo Y Los Trogloditas,Loquillo
3,Loquillo Y Los Trogloditas,Los Ronaldos
3,Loquillo Y Los Trogloditas,Radio Futura
3,Cuello,La URSS
3,Cuello,L'Hereu Escampa
3,Cuello,Kokoshca
3,Meghan Trainor,Ava Max
3,Meghan Trainor,Bebe Rexha
3,Meghan Trainor,Rita Ora
3,Oblique,Katsen
3,Oblique,The Ultrasonics
3,Oblique,Electrobelle
3,Karina,Cazzu
3,Karina,NINGNING
3,Karina,aespa
3,Cosmo K,Lidia Damunt
3,Cosmo K,Maria Rodés Y La Estrella de David
3,Cosmo K,Maria Rodés
3,Mujeres,Triángulo de Amor Bizarro
3,Mujeres,La Paloma
3,Mujeres,Cala Vento
3,Fangoria,Alaska y Dinarama
3,Fangoria,La Prohibida
3,Fangoria,Mónica Naranjo
3,Da Igual,nada que decir
3,Da Igual,Doctor Pitangú
3,Da Igual,Barrio Sur
3,P!nk,Kelly Clarkson
3,P!nk,Jessie J
3,P!nk,Avril Lavigne
3,Carlos Baute,David Bisbal
3,Carlos Baute,Chayanne
3,Carlos Baute,Luis Fonsi
3,Post Malone,Tyla Yaweh
3,Post Malone,The Kid LAROI
3,Post Malone,24kGoldn
3,Noelia,Chayanne
3,Noelia,Cristian Castro
3,Noelia,Franco De Vita
3,VINAI,Klaas
3,VINAI,lunax
3,VINAI,Tungevaag
3,Manuel Carrasco,Antonio Orozco
3,Manuel Carrasco,India Martinez
3,Manuel Carrasco,Antonio José
3,Chaqueta de Chándal,Camellos
3,Chaqueta de Chándal,Pantocrator
3,Chaqueta de Chándal,Parquesvr
3,Leif Garrett,Racey
3,Leif Garrett,Bay City Rollers
3,Leif Garrett,The Rubettes
3,Dani Fernández,Antonio José
3,Dani Fernández,Mayo
3,Dani Fernández,Depol
3,Miley Cyrus,Hannah Montana
3,Miley Cyrus,Lady Gaga
3,Miley Cyrus,Selena Gomez
3,No Me Pises Que Llevo Chanclas,Los Inhumanos
3,No Me Pises Que Llevo Chanclas,Los Sencillos
3,No Me Pises Que Llevo Chanclas,Manolo Tena
3,Los Yakis,Angeliyo El Blanco
3,Los Yakis,Los Rockin Devils
3,Los Yakis,Los Locos Del Ritmo
3,Blas Cantó,Emma Muscat
3,Blas Cantó,James Newman
3,Blas Cantó,Benny Cristo
3,Carlos Berlanga,Algora
3,Carlos Berlanga,Mano De Santo
3,Carlos Berlanga,Single
3,Diego Martín,David DeMaría
3,Diego Martín,Efecto Mariposa
3,Diego Martín,La Caja De Pandora
3,The Cardigans,A Camp
3,The Cardigans,Sixpence None the Richer
3,The Cardigans,Garbage
3,El Arrebato,El Barrio
3,El Arrebato,Andy & Lucas
3,El Arrebato,Estopa
3,MEDUZA,Alok
3,MEDUZA,Joel Corry
3,MEDUZA,Jax Jones
3,Swing Out Sister,Basia
3,Swing Out Sister,Matt Bianco
3,Swing Out Sister,Lisa Stansfield
3,Vanesa Martín,Manuel Carrasco
3,Vanesa Martín,Pastora Soler
3,Vanesa Martín,Rozalén
3,Pyllo Cortes,M Caló
3,Pyllo Cortes,Pedro El Flamenkito
3,Pyllo Cortes,Luis Cortés
3,Kenny Man,Dimelo Flow
3,Kenny Man,Lil Silvio & El Vega
3,Kenny Man,Chris Jeday
3,"Emilia, Pardo y Bazán",Alejandro Rosa
3,"Emilia, Pardo y Bazán",canciller
3,"Emilia, Pardo y Bazán",Dj Moderno
3,Potito,Montse Cortés
3,Potito,El Potito
3,Potito,Diego Carrasco
3,Greeicy,Mike Bahía
3,Greeicy,Camilo
3,Greeicy,Piso 21
3,MARÍA TOLEDO,Kiki Morente
3,MARÍA TOLEDO,Parrita
3,MARÍA TOLEDO,Israel Fernández
3,Rayo,Lasitud
3,Rayo,Vaya Futuro
3,Rayo,Cora Yako
3,Álvaro De Luna,Vicco
3,Álvaro De Luna,Ana Mena
3,Álvaro De Luna,Dvicio
3,Avicii,Kygo
3,Avicii,Tim Berg
3,Avicii,Martin Garrix
3,Los Piratas,Iván Ferreiro
3,Los Piratas,Los Planetas
3,Los Piratas,Lori Meyers
3,Airbag,Bjørn Riis
3,Airbag,RPWL
3,Airbag,The Pineapple Thief
3,Nueva Vulcano,Madee
3,Nueva Vulcano,Half Foot Outside
3,Nueva Vulcano,The Unfinished Sympathy
3,Diamante Negro,La trinidad
3,Diamante Negro,Camellos
3,Diamante Negro,Mediapunta
3,Shinova,Supersubmarina
3,Shinova,Vetusta Morla
3,Shinova,Second
3,Fito y Fitipaldis,El Canto del Loco
3,Fito y Fitipaldis,Platero y tú
3,Fito y Fitipaldis,Extremoduro
3,Melenas,Mujeres
3,Melenas,Triángulo de Amor Bizarro
3,Melenas,Chastity Belt
3,Massiel,Mari Trini
3,Massiel,Rocío Jurado
3,Massiel,Marisol
3,Miss Caffeina,Sidonie
3,Miss Caffeina,Lori Meyers
3,Miss Caffeina,Supersubmarina
3,David DeMaría,Diego Martín
3,David DeMaría,Merche
3,David DeMaría,David Bustamante
3,Nolasco,Los Rebujitos
3,Nolasco,Siempre Asi
3,Nolasco,juanlu montoya
3,Elbicho,Mártires Del Compás
3,Elbicho,Canteca De Macao
3,Elbicho,Miguel Campello
3,Marlon,Fran Perea
3,Marlon,Flynn Bridgewater
3,Marlon,Mellow Strings
3,from,Marcelo Criminal
3,from,Diamante Negro
3,from,el buen hijo
3,Antonio Orozco,Manuel Carrasco
3,Antonio Orozco,Conchita
3,Antonio Orozco,Melendi
3,Pitingo,Antonio Carmona
3,Pitingo,José Mercé
3,Pitingo,Falete
3,Pitovnis,Ragdog
3,Pitovnis,Indras
3,Pitovnis,MISTER COMETA
3,Alexie Divello,Allertz
3,Alexie Divello,Electrick Village
3,Alexie Divello,Sebastian Sollerman
3,Sinay,Parrita
3,Sinay,LOS BANIS
3,Sinay,Nouna
3,Barroso,León Bravo
3,Barroso,Keen Levy
3,Barroso,Dani MDR
3,El Sueño de Morfeo,Amaral
3,El Sueño de Morfeo,El Canto del Loco
3,El Sueño de Morfeo,Nena Daconte
3,Detergente Líquido,Hazte Lapón
3,Detergente Líquido,Alexanderplatz
3,Detergente Líquido,Betacam
3,Feedbacks,Bryan Estepa
3,Feedbacks,Bronco Bullfrog
3,Feedbacks,Kurt Baker
3,The Reflectors,The Speedways
3,The Reflectors,The Whiffs
3,The Reflectors,Brad Marino
3,Bravo Fisher!,Rusos Blancos
3,Bravo Fisher!,Ellos
3,Bravo Fisher!,Klaus & Kinski
3,Ghost Town,Get Scared
3,Ghost Town,Snow White's Poison Bite
3,Ghost Town,Famous Last Words
3,Merche,La Caja De Pandora
3,Merche,Efecto Mariposa
3,Merche,David Bustamante
3,Belako,Alcalá Norte
3,Belako,Melenas
3,Belako,Nudozurdo
3,Pastora Soler,Vanesa Martín
3,Pastora Soler,Malú
3,Pastora Soler,Edurne
3,Parade,Girls Can't Catch
3,Parade,SoundGirl
3,Parade,Wonderland
3,Huecco,Alvaro Soler
3,Huecco,Los Aslándticos
3,Huecco,Sofia Reyes
3,Depedro,Izal
3,Depedro,Sidonie
3,Depedro,Supersubmarina
3,José El Francés,Queco
3,José El Francés,Navajita Plateá
3,José El Francés,Tijeritas
3,La Barbería Del Sur,Navajita Plateá
3,La Barbería Del Sur,Ray Heredia
3,La Barbería Del Sur,Raimundo Amador
3,Nicky Romero,Hardwell
3,Nicky Romero,DubVision
3,Nicky Romero,Martin Garrix
3,Vinicio Capossela,Francesco De Gregori
3,Vinicio Capossela,Fabrizio De André
