artista,biografia
Xiula,"Xiula és una experiència única d’animació musical: fem cançons, pròpies i per encàrrec, creem espectacles i en general, liem pollastres importants que animen a tot tipus de públic.

I tot amb una mirada farandulera però professional, treballem amb contiguts crítics i amb esperit. Estem molt connectats al món de l’educació i a les necessitats i conflictes de les persones i la nostra societat.

Ah! I no parem quiets: també hem fet i farem llibres <a href=""https://www.last.fm/music/Xiula"">Read more on Last.fm</a>"
Bluestain," <a href=""https://www.last.fm/music/Bluestain"">Read more on Last.fm</a>"
Eraso!,"Eraso! (Attack!) is a Basque Metal band formed in 1996. After 2 Demos and 150 concerts they recorded their first studio album ""Erantzunik gabe"" (Without an answer) in 1999, and were selected by Slayer as support band during 2000. Their second album ""Oraina eta geroa"" (Present and future) recorded more professionally, was an inflection point in their career, during this time they shared stage with bands like Machine Head, Sepultura or Napalm Death. <a href=""https://www.last.fm/music/Eraso%21"">Read more on Last.fm</a>"
Oskorri,"Oskorri is a basque folk group, that has been a referent for later basque folk groups. They´ve been playing for the last 30 years more or less, having a very wide range of followers, from the elders to the youngsters.

They played their own tunes and remakes on the popular basque repertoire. <a href=""https://www.last.fm/music/Oskorri"">Read more on Last.fm</a>"
Atzembla," <a href=""https://www.last.fm/music/Atzembla"">Read more on Last.fm</a>"
The Kleejoss Band," <a href=""https://www.last.fm/music/The+Kleejoss+Band"">Read more on Last.fm</a>"
Os Resentidos,"Os Resentidos (The Resentfuls) was a Galician rock band founded in the year 1984 by Antón Reixa (well-known galician poet and film maker), Alberto Torrado and Javier Soto. Javier later left the band, being replaced by Xabier Debesa. Antón Reixa wrote the songs while the other two played the music. The instrumentation ranged from traditional Galician bagpipes (gaitas) to synthesizers electric guitars and bass. Os Resentidos disbanded in 1994.

Their most recognizable hit was ""Fai un sol de carallo"" (1986) <a href=""https://www.last.fm/music/Os+Resentidos"">Read more on Last.fm</a>"
La Porta Dels Somnis," <a href=""https://www.last.fm/music/La+Porta+dels+Somnis"">Read more on Last.fm</a>"
Track Dogs," <a href=""https://www.last.fm/music/Track+Dogs"">Read more on Last.fm</a>"
The Oddballs," <a href=""https://www.last.fm/music/The+Oddballs"">Read more on Last.fm</a>"
Young Forest," <a href=""https://www.last.fm/music/Young+Forest"">Read more on Last.fm</a>"
Tano!,"The seed of the power duo Tano! was planted in 2014, stemming from Hurricäde's posthumous concerts sharing stage and tour with the also-defunct Anchord. Germination arose in 2015, when Oskar Garcia and Víctor Pelusa got together more and more regularly in the rehearsal room, from which a musical spell of all original crazy, dissonant, rhythmic and dynamic songs, sung entirely in Catalan and in constant search of new sensations that are reflected <a href=""https://www.last.fm/music/TANO%21"">Read more on Last.fm</a>"
Terratombats," <a href=""https://www.last.fm/music/Terratombats"">Read more on Last.fm</a>"
Bely Basarte," <a href=""https://www.last.fm/music/Bely+Basarte"">Read more on Last.fm</a>"
Lildami," <a href=""https://www.last.fm/music/LILDAMI"">Read more on Last.fm</a>"
Salto,"1. Salto is a 3-piece electropop band from Portugal. 

2. A live electronic / jungle / trip-hop / slavic archaic songs / nu Jazz / breaks band from Russia.
http://thesalto.ru/ <a href=""https://www.last.fm/music/Salto"">Read more on Last.fm</a>"
Bultz!," <a href=""https://www.last.fm/music/Bultz%21"">Read more on Last.fm</a>"
Pepet I Marieta,"'Pepet i marieta' is the band of Josep Bordes, a catalan from Ulldecona (Tarragona, Spain). He is the only member of the band (the translation for the band's name is ""Pepet and 'little' Maria""). 

His first big album was 'Sempre hi ha un pedaç pa un descosit', coming after winning two local contests : Sona 9 and Ebre Musik. Before that one, he edited 'Quatre xispis i una canyeta...' on his own.

Right now is one of the most famous folk musician in Catalunya. <a href=""https://www.last.fm/music/Pepet+I+Marieta"">Read more on Last.fm</a>"
Correcaminos Rock and Roll Band," <a href=""https://www.last.fm/music/Correcaminos+Rock+and+Roll+Band"">Read more on Last.fm</a>"
Pablo Valdés," <a href=""https://www.last.fm/music/Pablo+Vald%C3%A9s"">Read more on Last.fm</a>"
Pelax," <a href=""https://www.last.fm/music/Pelax"">Read more on Last.fm</a>"
Rulo y la contrabanda," <a href=""https://www.last.fm/music/Rulo+y+la+contrabanda"">Read more on Last.fm</a>"
The Gift,"1) Formed in 1994, The Gift was initially a side project of the Dead Souls, Nuno Gonçalves and Miguel Ribeiro’s band at the time. The evolution from one project to another was natural, as they felt the Dead Souls sound was limited by their instrumentation (guitar, drums and bass)and they wanted to experiment with new sounds and explore new musical paths.
In September 1994, Sónia Tavares, Nuno and John Gonçalves, Miguel Ribeiro and Ricardo Braga enrolled in the Bar Ben Music Competition in Alcobaça and took second place in the competition <a href=""https://www.last.fm/music/The+Gift"">Read more on Last.fm</a>"
La Terrasseta de Preixens,"La Terrasseta de Preixens is a catalan eight-piece band formed in 2006. The line up consists of Albert Sala, Jordi Palou, Roger Pascual, Marc Vilarrubias, Eloi Virgili, Ramon Llavall, Jordi Argilés, Javi Tanarro. In 2011 they released their debut album El Gran Desgraciat available under a Creative Commons license from their official website http://www.laterrassetadepreixens.cat. <a href=""https://www.last.fm/music/La+Terrasseta+de+Preixens"">Read more on Last.fm</a>"
O Sonoro Maxín," <a href=""https://www.last.fm/music/+noredirect/O+sonoro+max%C3%ADn"">Read more on Last.fm</a>"
Txapelpunk,"Punk band which was born in 1999 in Lekeitio, Basque Country (Spain). The group formed around singer Iñigo (ex-member of Etsaiak) and Jul (guitarist of the punk legend band R.I.P.. All TXAPELPUNK members were before in other bands but they wanted to back to the roots, a simple, easy, direct and fast punk rock like early 80s. At date TXAPELPUNK has recorded six length albums and some tracks in different compilations. 
https://www.facebook.com/txapelpunktaldeaofiziala <a href=""https://www.last.fm/music/Txapelpunk"">Read more on Last.fm</a>"
Raimon,"Ramon Pelegero Sanchis (Raimon), born in Xàtiva in 1940, is an important and well-known singer and songwriter from València (Spain). Many know his work for its implication in the political and social movements against the Francisco Franco's fascist dictatorship (1936-1975). Raimon is also known for his vinculation to the ideas of self-determination for València and the Països Catalans (Catalan Countries) and he and his songs have became a symbol of the national fight of this country. <a href=""https://www.last.fm/music/Raimon"">Read more on Last.fm</a>"
La Unión,"LA UNIØN grupo formado por Rafa Sánchez (cantante), Luis Bolín (bajo), Mario Martínez (guitarra) e Íñigo Zabala (teclados) a finales del año 82 en Madrid, al calor de “La Movida”. Su música influida, llena de personalidad, romanticismo, referencias literarias y cinematográficas pronto se hace notar. ""Lobo Hombre en París"", basada en un cuento de Boris Vian.  
 <a href=""https://www.last.fm/music/+noredirect/La+Uni%C3%B3n"">Read more on Last.fm</a>"
The Sick Boys," <a href=""https://www.last.fm/music/The+Sick+Boys"">Read more on Last.fm</a>"
Dixebra,"Dixebra. from Avilés, Spain started mixing traditional elements of the asturian music (which is a variant of the celtic music played in the lowlands) with punk, ska, reggae and lately hardcore and rock. Perhaps the most important traditional element in their music is the asturian bagpipe and the use of the asturian language in their lyrics. Their early albums could be compared to those of The Clash, or to give a closer referent, Kortatu. 

 The subjects <a href=""https://www.last.fm/music/Dixebra"">Read more on Last.fm</a>"
Dio,"There are multiple artists with the name Dio.
1. Dio was an American heavy metal band formed in 1982 and led by vocalist Ronnie James Dio.
2. Dio is a Dutch hip hop artist.

1. Dio was an American heavy metal band formed in 1982 and led by vocalist Ronnie James Dio. Dio left Black Sabbath with intentions to form a new band with fellow former Black Sabbath drummer Vinny Appice. The name Dio was chosen because it made sense from a commercial standpoint, as the name was already well known at that time. <a href=""https://www.last.fm/music/Dio"">Read more on Last.fm</a>"
El Mató a un Policía Motorizado,"El Mató A Un Policía Motorizado is an argentine band from La Plata, Argentina, born in 2003.  Their music is mostly influenced by 90's american indie bands. They file their music under the indie-barrial putting themselves closer to an international indie-rock style, rather than the local.

They are Santiago Motorizado (bass and vocals), Doctora Muerte (drums), Niño Elefante (guitar) y Pantro Puto (guitar).

Offical website: www.elmato.com.ar <a href=""https://www.last.fm/music/+noredirect/El+mat%C3%B3+a+un+polic%C3%ADa+motorizado"">Read more on Last.fm</a>"
Lucas Masciano,"De su web: http://www.lucasmasciano.com.ar

Lucas Masciano, nacido un 18 de noviembre de 1977 en Chivilcoy (Buenos Aires), supera con algún esfuerzo - tal cual nos confiesa él mismo desde la contratapa de su disco “Al Diablo con todo” - tener que resignar sus infantiles sueños de convertirse en bombero por el quizás menos utópico pero igualmente venturoso destino de convertirse en cantautor. 

Ya definido como solista y explorando una fusión de estilos latin <a href=""https://www.last.fm/music/Lucas+Masciano"">Read more on Last.fm</a>"
Miquel Abras," <a href=""https://www.last.fm/music/Miquel+Abras"">Read more on Last.fm</a>"
Sidecars,"Sidecars es un nuevo y joven cuarteto madrileño que aúna la tradición del buen pop-rock en castellano con una admirable habilidad para fabricar melodías de alto valor comercial, sin renunciar a un buen tanto por ciento de honestidad y una pizca de pícara chulería. El grupo está liderado por Juancho -guitarra y voz- y se completa con Manu -guitarra-, Hierbas -bajo- y Ruli -batería-. Sidecars son herederos de la saga que arrancó con Tequila y su genuina fijación “stoniana” <a href=""https://www.last.fm/music/Sidecars"">Read more on Last.fm</a>"
Banda de Gaites Villa de Xixón," <a href=""https://www.last.fm/music/Banda+de+Gaites+Villa+de+Xix%C3%B3n"">Read more on Last.fm</a>"
"Quico El Célio, El Noi I El Mut De Ferreries","Quico el Célio, el Noi i el Mut de Ferreries is one of the most important folk bands from Catalunya. Members are from Tortosa (Tarragona, Spain), and they are Arturo Gaya (Quico el Célio, voice), Quique Pedret (el Noi, voice and guitars), Jordi Fusté (el Mut de Ferreries, guitars) and Josep Lanau 'Mitxum' (Jaumet, keyboards, bass and voice).  <a href=""https://www.last.fm/music/Quico+el+C%C3%A9lio,+el+Noi+i+el+Mut+de+Ferreries"">Read more on Last.fm</a>"
Cesk Freixas,"Cesk Freixas (Francesc Freixas i Morros, Sant Pere de Riudebitlles, 1984) is a young singer-songwriter that, with other artists from the country, returned the singer-songwriter label to the real way, like it used to be long time ago. They are the new generation of catalan singer-songwriter proclaiming injustices with guitars since 2004.


The band is composed by Cesk, composer, vocals and guitar; Victor Nin, electric guitar; Dani Malagarriga, bass; Monty <a href=""https://www.last.fm/music/Cesk+Freixas"">Read more on Last.fm</a>"
El Chico Amperio," <a href=""https://www.last.fm/music/El+Chico+Amperio"">Read more on Last.fm</a>"
Juanes,"Juan Esteban Aristizábal Vásquez (born August 9, 1972), best known as Juanes, is a rock musician from Medellín, Colombia. When he was younger, his father started calling him Juanes, rather than Juan, a contraction of his two first names Juan and Esteban. As his friends grew to know him by this name, he chose to keep it for his musical career, which started when he, Andrés García, Fernando ""Toby"" Tobón and José David Lopera, formed the rock band Ekhymosis in 1988. <a href=""https://www.last.fm/music/Juanes"">Read more on Last.fm</a>"
Sherish," <a href=""https://www.last.fm/music/+noredirect/Sherish"">Read more on Last.fm</a>"
Isla Iglú," <a href=""https://www.last.fm/music/Isla+Igl%C3%BA"">Read more on Last.fm</a>"
Hendrik Röver,"Hendrik Röver is the core of Los DelTonos, a spanish band from Muriedas, Cantabria. <a href=""https://www.last.fm/music/Hendrik+R%C3%B6ver"">Read more on Last.fm</a>"
Faith No More,"Faith No More are an American alternative metal band from San Francisco, California, formed in 1979. Before settling on the current name in July 1983, the band performed under the names Sharp Young Men and later Faith No Man. Bassist Billy Gould, keyboardist/rhythm guitarist Roddy Bottum and drummer Mike Bordin are the longest-remaining members of the band, having been involved since its inception. The band underwent several early lineup changes, and some major changes later. <a href=""https://www.last.fm/music/Faith+No+More"">Read more on Last.fm</a>"
Alex Ubago,"Álex Ubago (born January 29, 1981) is a Spanish singer-songwriter. He is especially known for his heartfelt voice and his ballads. He rose to stardom in 2001, when he appeared as a guest on the smash hit TV show Operación Triunfo, Spain's Pop Idol, and was acclaimed as one of the few artists that managed to be popular and sell records outside the Operación Triunfo phenomenon, in a year where the contenders of this show monopolized Spanish charts. (Ubago was not himself a contestant on the program). <a href=""https://www.last.fm/music/Alex+Ubago"">Read more on Last.fm</a>"
Melange,"There is another artist also named  Melange. <a href=""https://www.last.fm/music/Melange"">Read more on Last.fm</a>"
Strombers," <a href=""https://www.last.fm/music/Strombers"">Read more on Last.fm</a>"
Joseba Tapia,"Basque musician, as a solo artist he is on World Music fusion, while he also participates in Tapia eta Leturia (Trikitixa: Traditional Basque dance music), Tapia eta Leturia band (Experimental Triki-Rock) and Hiru Truku (Traditional Song) among others <a href=""https://www.last.fm/music/Joseba+Tapia"">Read more on Last.fm</a>"
Feliu Ventura,"El trajecte de Feliu Ventura comença amb la publicació l'any 1996 de la seua primera maqueta en format K7. Després de fer rodar les seues primeres cançons arreu del territori, l'any 2000 publica el CD “estels de tela” amb una millor qualitat de so i un concepte musical més definit. Però tot just és un camí encetat en la construcció d'una veu pròpia. Tot i això aconseguirà el cinquè millor disc de cançó de la revista Enderrock i <a href=""https://www.last.fm/music/Feliu+Ventura"">Read more on Last.fm</a>"
Astarot,"There are a lot of bands called Astarot:

1) A hard rock/melodic heavy metal/AOR band from Spain (Cangas do Morrazo). Formed in 1983 and, with a various line-up changes, the current members are:

Wes - Vocals
Carlos Gandón - Guitar
Carlos Rodal - Bass
Jose - Drums
Tony - Keyboards

Discography:

Donde se hospeda el pasado (1990)
Respirando (1994)
Apuesta y gana (1999)
O sentir dunha terra (2000)
Longa noite de pedra (2005)

2) A death metal band from Poland. <a href=""https://www.last.fm/music/Astarot"">Read more on Last.fm</a>"
Autumn Comets," <a href=""https://www.last.fm/music/Autumn+Comets"">Read more on Last.fm</a>"
Molina Molina," <a href=""https://www.last.fm/music/Molina+Molina"">Read more on Last.fm</a>"
Animal,"There is more than one artist with this name:

(1) Animal is Aaron Nemec, a musician and visual artist based in West Lafayette, Indiana.  He releases his lo-fi, indie pop albums on his own record label Executive Bird and provides most of them for free download at his website www.executivebird.com.  He changed his name from Animal to Drum Kit in the winter/spring of 2006.

(1b) Animal is also and currently still the drummer from Muppet show.
He's also the artist under the name, (incl. release catalog) for longest. <a href=""https://www.last.fm/music/Animal"">Read more on Last.fm</a>"
Roy Orbison,"Roy Kelton Orbison (April 23, 1936 – December 6, 1988), nicknamed ""The Big O"", was an influential American singer-songwriter and a pioneer of rock and roll, whose recording career spanned more than four decades. By the mid-1960s Orbison was internationally recognized for his ballads of lost love, rhythmically advanced melodies, three-octave vocal range, characteristic dark sunglasses, and sometimes distinctive usage of falsetto, typified in songs such as ""Only the Lonely, ""Oh, Pretty Woman"", and ""Crying"". <a href=""https://www.last.fm/music/Roy+Orbison"">Read more on Last.fm</a>"
Camilo Séptimo,"Camilo Séptimo is a mexican band born in 2013. His first official album was  Óleos in 2017 but they also have many singles  <a href=""https://www.last.fm/music/Camilo+S%C3%A9ptimo"">Read more on Last.fm</a>"
Efecto Pasillo,"official web site  "" spanish""

http://www.efectopasillo.com/biografia


MOST POPULAR VIDEO ON THE INTERNET 

http://www.youtube.com/watch?v=a5Hp4K0PwRQ <a href=""https://www.last.fm/music/Efecto+Pasillo"">Read more on Last.fm</a>"
Robbie Williams,"Robert Peter Williams (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, Life thru a Lens, was released in 1997, and included his signature song, ""Angels"". His second album, I've Been Expecting You, featured the songs ""Millennium"" and ""She's the One"", his first number one singles. <a href=""https://www.last.fm/music/Robbie+Williams"">Read more on Last.fm</a>"
The Potes," <a href=""https://www.last.fm/music/The+Potes"">Read more on Last.fm</a>"
Nat Simons,"Nat Simons is one of Spain's finest folk singers. Her deeply soothing and invigorating voice is not only enough to draw you in, but will leave you feeling mesmerized. Often writing songs of political and social significance, Nat Simmons is a true artist. Her much awaited debut studio album is scheduled for release in 2010.

Official website
MySpace
Label <a href=""https://www.last.fm/music/Nat+Simons"">Read more on Last.fm</a>"
Álvaro Urquijo," <a href=""https://www.last.fm/music/%C3%81lvaro+Urquijo"">Read more on Last.fm</a>"
Perlata," <a href=""https://www.last.fm/music/Perlata"">Read more on Last.fm</a>"
Caboverde," <a href=""https://www.last.fm/music/Caboverde"">Read more on Last.fm</a>"
Minor Empires,"Minor Empires are a 4-piece alternative, rock band from Madrid, Spain. To date, they have released two albums; their debut self-titled in 2014 and ""United States of Emergency, Vol. 1"" in 2015. Both albums are available at https://minorempires.bandcamp.com. For more information, visit https://www.facebook.com/minorempires. <a href=""https://www.last.fm/music/Minor+Empires"">Read more on Last.fm</a>"
Tregua," <a href=""https://www.last.fm/music/TREGUA"">Read more on Last.fm</a>"
