artist,bio
Sherwood Roberts," <a href=""https://www.last.fm/music/Sherwood+Roberts"">Read more on Last.fm</a>"
Wolfgang Amadeus Mozart,"Johannes Chrysostomus Theophilus Wolfgangus Amadeus Mozart más conocido con el nombre de Wolfgang Amadeus Mozart nació en Salzburgo, Austria el 27 de enero de 1756 y murió en Viena el 5 de diciembre de 1791. Es considerado como uno de los más grandes compositores de música clásica del mundo occidental.

Mozart aparece hoy como uno de los más grandes genios musicales del mundo. Era capaz de concebir mentalmente obras enteras hasta en sus más <a href=""https://www.last.fm/music/Wolfgang+Amadeus+Mozart"">Read more on Last.fm</a>"
Floriani," <a href=""https://www.last.fm/music/Floriani"">Read more on Last.fm</a>"
Alaskan Tapes," <a href=""https://www.last.fm/music/Alaskan+Tapes"">Read more on Last.fm</a>"
Andrea Bocelli,"Andrea Bocelli (Lajatico, Pisa, Italia — 22 de septiembre de 1958) es un cantante (tenor), escritor y productor musical italiano. Ha grabado 7 óperas completas (Carmen, La Bohème, Il Trovatore, Cavalleria Rusticana, Pagliacci, Werther y Tosca), además de discos con canciones clásicas y de música pop. Es un cantante conocido internacionalmente que ha vendido más de 65 millones de discos en todo el mundo y que además en 2006 recibe por parte de su país el reconocimiento como Gran Oficial de la Orden al Mérito de la República Italiana. <a href=""https://www.last.fm/music/Andrea+Bocelli"">Read more on Last.fm</a>"
Nils Frahm,"Nils Frahm (nacido en 1982) es un alemán músico y compositor con sede en Berlín . Ha publicado material en solitario bajo su propio nombre y también con varios artistas notables, como Anne Müller y el FS Blumm.
Frahm tuvo una introducción temprana a la música. Durante su infancia se le enseñó a tocar el piano por Nahum Brodski, un estudiante del erudito último Tschaikowski . Fue a través de esto que Frahm comenzó a sumergirse en el estilo de los pianistas clásicos que le precedieron, así como compositores contemporáneos. <a href=""https://www.last.fm/music/Nils+Frahm"">Read more on Last.fm</a>"
Violin Sky," <a href=""https://www.last.fm/music/Violin+Sky"">Read more on Last.fm</a>"
Mathias Fritsche," <a href=""https://www.last.fm/music/Mathias+Fritsche"">Read more on Last.fm</a>"
Antonio Ministeri," <a href=""https://www.last.fm/music/Antonio+Ministeri"">Read more on Last.fm</a>"
Yaya Orchestra," <a href=""https://www.last.fm/music/Yaya+Orchestra"">Read more on Last.fm</a>"
Saah," <a href=""https://www.last.fm/music/Saah"">Read more on Last.fm</a>"
Joel Sunny," <a href=""https://www.last.fm/music/Joel+Sunny"">Read more on Last.fm</a>"
keshi,"Casey Thai Luong, conocido profesionalmente como Keshi, es un cantante, compositor, productor discográfico y multiinstrumentista vietnamita estadounidense. Es mejor conocido por sus canciones ""Like I Need U"", ""Limbo"" y ""Drunk"". <a href=""https://www.last.fm/music/keshi"">Read more on Last.fm</a>"
Gabriel Piano," <a href=""https://www.last.fm/music/Gabriel+piano"">Read more on Last.fm</a>"
Julian's Piano," <a href=""https://www.last.fm/music/Julian%27s+Piano"">Read more on Last.fm</a>"
Gabriela Piano," <a href=""https://www.last.fm/music/Gabriela+Piano"">Read more on Last.fm</a>"
Romeo,"Existen dos artistas bajo el nombre de Romeo. Uno de ellos parece ser un rapero americano y el otro una banda de rock español. Con respecto al segundo:

Romeo nace en 2006 tras la desintegración de Lizar. Alberto Hernández (bajo) y Joseph K. (voz) deciden echarse la mochila al hombro y dejar su Murcia natal para irse a Madrid y montar una nueva banda. A través de Manuel Torroglosa ingeniero del estudio la Sala de Máquinas, con el que ya habian trabajado previamente <a href=""https://www.last.fm/music/Romeo"">Read more on Last.fm</a>"
Magic Man," <a href=""https://www.last.fm/music/Magic+Man"">Read more on Last.fm</a>"
Akın Sevgör," <a href=""https://www.last.fm/music/Ak%C4%B1n+Sevg%C3%B6r"">Read more on Last.fm</a>"
Andrea Vanzo," <a href=""https://www.last.fm/music/Andrea+Vanzo"">Read more on Last.fm</a>"
Gabriel Fauré,"Gabriel Urbain Fauré (1845-1924), compositor, pedagogo y organista francés. Romántico en sus inicios y admirador de la música de Richard Wagner, se sumó luego a la corriente impresionista en la línea de la música francesa, siendo la suya de una gran finura melódica y equilibrio compositivo.

Nació en Pamiers (Francia), el 12 de mayo de 1845. Fauré era hijo de Toussaint-Honoré Fauré, y de Marie-Antoinette-Hélène Lalène-Laprade. Siendo muy joven <a href=""https://www.last.fm/music/+noredirect/Gabriel+Faur%C3%A9"">Read more on Last.fm</a>"
Ron Adelaar," <a href=""https://www.last.fm/music/Ron+Adelaar"">Read more on Last.fm</a>"
Austin Farwell," <a href=""https://www.last.fm/music/Austin+Farwell"">Read more on Last.fm</a>"
Seb Wery," <a href=""https://www.last.fm/music/Seb+Wery"">Read more on Last.fm</a>"
Eric Christian," <a href=""https://www.last.fm/music/Eric+Christian"">Read more on Last.fm</a>"
Adah Strauss," <a href=""https://www.last.fm/music/Adah+Strauss"">Read more on Last.fm</a>"
Sofi Paez," <a href=""https://www.last.fm/music/SOFI+PAEZ"">Read more on Last.fm</a>"
Sofiane Pamart,"Sofiane Pamart es un pianista francés, afincado en París y originario de Hellemmes en los suburbios de Lille. Es conocido por el público francés por romper los códigos elitistas del piano clásico. Como medallista de oro en el Conservatorio de Lille, tomó un camino diferente al típico camino de la música clásica. <a href=""https://www.last.fm/music/Sofiane+Pamart"">Read more on Last.fm</a>"
Alberto Giurioli," <a href=""https://www.last.fm/music/Alberto+Giurioli"">Read more on Last.fm</a>"
Gibran Alcocer,"Gibran Alcocer es un pianista compositor y productor mexicano de 22 años originario de Yucatán, que ha estado inmerso en la música desde pequeño. Comenzó su viaje musical tomando lecciones de piano y finalmente continuó con estudios de música clásica. Su don para la composición y la producción surgió a la edad de 12 años.

En 2021 inicio en la plataforma de TikTok donde se hizo conocido por sus interpretaciones de versiones al piano. A principios de 2022 se aventuró a componer música instrumental. <a href=""https://www.last.fm/music/Gibran+Alcocer"">Read more on Last.fm</a>"
Luigi Boccherini,"Luigi Rodolfo Boccherini (Lucca, 19 de febrero de 1743 - Madrid, 28 de mayo de 1805) fue un compositor y chelista toscano naturalizado español.

Nacido en Lucca el 19 de febrero de 1743, en el seno de una familia de artistas. Su padre fue contrabajista y su hermana bailarina de ballet. Su hermano Giovanni Gastone fue escritor y poeta de cierto prestigio, que llegó a escribir libretos para Antonio Salieri y Joseph Haydn. Boccherini se interesó por el chelo. <a href=""https://www.last.fm/music/Luigi+Boccherini"">Read more on Last.fm</a>"
Deister Orchestra," <a href=""https://www.last.fm/music/Deister+Orchestra"">Read more on Last.fm</a>"
Paul Sabin," <a href=""https://www.last.fm/music/Paul+Sabin"">Read more on Last.fm</a>"
Peter Illenyi," <a href=""https://www.last.fm/music/Peter+Illenyi"">Read more on Last.fm</a>"
Becky Ainge," <a href=""https://www.last.fm/music/Becky+Ainge"">Read more on Last.fm</a>"
Erik Satie,"Alfred Éric Leslie Satie (Honfleur, Calvados; 17 de mayo de 1866 - París, 1 de julio de 1925) fue un compositor y pianista francés.

Es mejor conocido como Erik Satie (desde su primera composición en 1884, cambió la c francesa final de su nombre por una k inglesa). Aunque en su vida posterior se enorgullecía de siempre publicar su trabajo con su propio nombre, parece que hubo un corto período al final de la década de 1880 en que publicó su trabajo con el seudónimo Virginie Lebeau.  <a href=""https://www.last.fm/music/Erik+Satie"">Read more on Last.fm</a>"
Alstad," <a href=""https://www.last.fm/music/Alstad"">Read more on Last.fm</a>"
Hampus Naeselius," <a href=""https://www.last.fm/music/Hampus+Naeselius"">Read more on Last.fm</a>"
Alexander Scriabin,"Alexánder Nikoláievich Scriabin (Александр Николаевич Скрябин; a veces transliterado como Skryabin) (Moscú, 6 de enero de 1872 - 27 de abril de 1915), fue un compositor y pianista ruso.

Scriabin nació en Moscú. Estudió piano a una temprana edad, tomando lecciones con Nikolái Zverev que era al mismo tiempo profesor de Serguéi Rachmaninov. Estudió luego en el Conservatorio de Moscú con Anton Arenski, Sergei Taneyev, y Safonov. <a href=""https://www.last.fm/music/Alexander+Scriabin"">Read more on Last.fm</a>"
Yehezkel Raz," <a href=""https://www.last.fm/music/Yehezkel+Raz"">Read more on Last.fm</a>"
Lara Somogyi," <a href=""https://www.last.fm/music/Lara+Somogyi"">Read more on Last.fm</a>"
Cristian Vivaldi," <a href=""https://www.last.fm/music/Cristian+Vivaldi"">Read more on Last.fm</a>"
Chick Corea,"Armando Anthony Corea (Chelsea, 12 de junio 1941 - Tampa, 9 de febrero 2021), Chick Corea, pianista y compositor estadounidense de jazz.

    * Se trata de uno de los músicos de jazz más importantes desde los años 1960. Considerado un maestro del piano, junto a Herbie Hancock y Keith Jarrett tomó el relevo de pianistas como Bill Evans o McCoy Tyner. Además, es compositor de varios estándares de jazz como Spain, La Fiesta y Windows.

Corea empezó a tocar el piano a la edad de cuatro años <a href=""https://www.last.fm/music/Chick+Corea"">Read more on Last.fm</a>"
Mirko Dukanovic," <a href=""https://www.last.fm/music/Mirko+Dukanovic"">Read more on Last.fm</a>"
Kjell Sønksen," <a href=""https://www.last.fm/music/Kjell+S%C3%B8nksen"">Read more on Last.fm</a>"
Giulio Caccini,"Giulio Caccini (Tívoli, cerca de Roma, hacia 1550 — Florencia, 10 de diciembre de 1618) fue un compositor, cantante e instrumentista italiano. Tocaba el clave, el laúd, el arpa y la cítara. Vivió gran parte de su vida en Florencia, donde estuvo 37 años al servicio de la familia Médici. También fue conocido como Giulio Romano.

No se sabe mucho de sus comienzos, algunos lo relacionan familiarmente con el escultor florentino Giovanni Caccini. <a href=""https://www.last.fm/music/Giulio+Caccini"">Read more on Last.fm</a>"
Keaton Henson,"Keaton Henson (24 de marzo de 1988) es un músico inglés, artista visual y poeta de Londres. 

Como músico, Henson canta y toca la guitarra y el piano. Sufre de miedo escénico, así que raramente da conciertos. Ha publicado cuatro CDs: Dear (2012), Birthdays (2013), Romantic Works (2014) y Kindly Now (2016).

 <a href=""https://www.last.fm/music/Keaton+Henson"">Read more on Last.fm</a>"
Franz Liszt,"Franz Liszt (Ferenc Liszt, en húngaro) (Raiding, Hungría, Imperio Austríaco, 22 de octubre de 1811 - Bayreuth, Baviera, 31 de julio de 1886) fue un pianista y compositor húngaro romántico.

Liszt es el creador del poema sinfónico, forma típica del romanticismo, y de la moderna técnica de interpretación pianística. Es autor de una importante obra para piano (rapsodias húngaras, estudios, preludios, etc.), de tres conciertos para piano y orquesta y también de una extensa obra orquestal. <a href=""https://www.last.fm/music/Franz+Liszt"">Read more on Last.fm</a>"
Albert C. Green," <a href=""https://www.last.fm/music/Albert+C.+Green"">Read more on Last.fm</a>"
Olivia Belli," <a href=""https://www.last.fm/music/Olivia+Belli"">Read more on Last.fm</a>"
LUDEN," <a href=""https://www.last.fm/music/Luden"">Read more on Last.fm</a>"
Daniel Ciurlizza," <a href=""https://www.last.fm/music/Daniel+Ciurlizza"">Read more on Last.fm</a>"
Annie Rosier," <a href=""https://www.last.fm/music/Annie+Rosier"">Read more on Last.fm</a>"
Claude Armand," <a href=""https://www.last.fm/music/Claude+Armand"">Read more on Last.fm</a>"
Hania Rani," <a href=""https://www.last.fm/music/Hania+Rani"">Read more on Last.fm</a>"
MIIA," <a href=""https://www.last.fm/music/MIIA"">Read more on Last.fm</a>"
Marta Cascales Alimbau," <a href=""https://www.last.fm/music/Marta+Cascales+Alimbau"">Read more on Last.fm</a>"
Laufey,"Laufey Lín Bing Jónsdóttir (en chino: 林冰; Reykjavík, Islandia, 23 de abril de 1999), conocida simplemente como Laufey, es una cantautora y productora islandesa. Alcanzó popularidad a principios de la década de 2020 por su estilo inspirado especialmente en el jazz. Los críticos señalan que sus canciones han recibido un éxito considerable para un género que, comercialmente, ha decaído en los últimos años.
Laufey a lo largo de su vida ha sido sumamente marcada por la música clásica <a href=""https://www.last.fm/music/Laufey"">Read more on Last.fm</a>"
Thomas Newman,"Thomas Newman es un compositor estadounidense nacido el 20 de octubre de 1955 en Los Ángeles, California. Es miembro de una de las familias de compositores de cine más conocidas en Hollywood. Hijo del compositor Alfred Newman (1901-1970) (quien compuso la música en películas como ""The Battle of Midway"", ""My Friend Flicka"", ""La canción de Bernadette"", ""La barrera invisible"", ""Eva al desnudo"" o ""La túnica sagrada"") y de su mujer Martha Louise, realizó sus estudios en la Universidad de Yale. <a href=""https://www.last.fm/music/Thomas+Newman"">Read more on Last.fm</a>"
Germaine Tailleferre,"Germaine Tailleferre, compositora francesa, nació en Saint-Maur-des-Fossés (Val-de-Marne) el 19 de abril de 1892 y murió en París el 7 de noviembre de 1983.

«Una Marie Laurencin para el oído», como Jean Cocteau hablaba de Germaine Tailleferre, la única mujer del célebre Groupe des Six (junto con Georges Auric, Louis Durey, Arthur Honegger, Darius Milhaud et Francis Poulenc). Esta expresión que buscaba establecer una correspondencia entre las acuarelas decorativas de Laurencin y la música de Tailleferre <a href=""https://www.last.fm/music/Germaine+Tailleferre"">Read more on Last.fm</a>"
Melina," <a href=""https://www.last.fm/music/Melina"">Read more on Last.fm</a>"
Aaron Dolan," <a href=""https://www.last.fm/music/Aaron+Dolan"">Read more on Last.fm</a>"
sonbahar," <a href=""https://www.last.fm/music/SONBAHAR"">Read more on Last.fm</a>"
Edvard Grieg,"Edvard Hagerup Grieg (15 de junio de 1843 - 4 de septiembre de 1907), pianista y compositor Noruego. Se destacó principalmente por sus obras Concierto para piano en La menor, y por su música incidental encargada por Henrik Ibsen para su drama Peer Gynt.

Grieg nació en Bergen en 1843, descendiente de una familia de Escoceses (cuyo apellido original era ""Greig""); después de la Batalla de Culloden, en 1746, su bisabuelo había inmigrado por varios lugares, para finalmente asentarse como comerciante en Bergen, Noruega, alrededor del año 1770. <a href=""https://www.last.fm/music/Edvard+Grieg"">Read more on Last.fm</a>"
The Last Days of Our Past," <a href=""https://www.last.fm/music/The+Last+Days+of+Our+Past"">Read more on Last.fm</a>"
Hakdo," <a href=""https://www.last.fm/music/Hakdo"">Read more on Last.fm</a>"
PERCEVAL," <a href=""https://www.last.fm/music/Perceval"">Read more on Last.fm</a>"
